rn,seq,eid,rev,nodea,nodeb
0,1,191201,False,130980,130874
0,2,191204,False,130985,130980
0,3,191209,False,133035,130985
0,4,194512,True,133218,133035
0,5,194249,True,133034,133218
0,6,194246,True,133033,133034
0,7,194245,False,133032,133033
0,8,194247,True,130874,133032
1,1,190830,False,130875,130715
1,2,191205,True,130983,130875
1,3,191054,True,130874,130983
1,4,192679,True,131988,130874
1,5,191052,True,130873,131988
1,6,191051,False,130713,130873
1,7,190831,False,130715,130713
2,1,190087,False,130982,130189
2,2,191208,True,130985,130982
2,3,191204,True,130980,130985
2,4,191201,True,130874,130980
2,5,191054,False,130983,130874
2,6,191240,True,131007,130983
2,7,191206,True,130981,131007
2,8,191202,False,130189,130981
3,1,190085,True,130187,130188
3,2,191203,True,130982,130187
3,3,190087,True,130189,130982
3,4,190086,False,130188,130189
4,1,190084,False,130984,130188
4,2,191210,True,130986,130984
4,3,194248,True,133035,130986
4,4,191209,True,130985,133035
4,5,191208,False,130982,130985
4,6,191203,False,130187,130982
4,7,190085,False,130188,130187
5,1,191234,False,133219,130986
5,2,194514,False,133218,133219
5,3,194512,False,133035,133218
5,4,194248,False,130986,133035
6,1,191232,False,133033,131002
6,2,194246,False,133034,133033
6,3,194249,False,133218,133034
6,4,194514,True,133219,133218
6,5,194513,False,131002,133219
7,1,191211,True,130987,132847
7,2,193070,True,132250,130987
7,3,191238,True,131006,132250
7,4,191236,True,131005,131006
7,5,191212,True,130989,131005
7,6,191214,True,130990,130989
7,7,194419,True,133152,130990
7,8,193965,True,132847,133152
8,1,191213,True,130988,130991
8,2,191215,True,130990,130988
8,3,191214,False,130989,130990
8,4,191226,True,130999,130989
8,5,191219,True,130994,130999
8,6,191216,True,130991,130994
9,1,191216,False,130994,130991
9,2,191229,True,131001,130994
9,3,192718,True,132015,131001
9,4,191220,True,130993,132015
9,5,191218,False,130423,130993
9,6,193841,True,132761,130423
9,7,191381,True,131106,132761
9,8,191382,True,131107,131106
9,9,191387,True,131110,131107
9,10,191221,True,130992,131110
9,11,191217,True,130991,130992
10,1,191219,False,130999,130994
10,2,191227,True,130998,130999
10,3,191231,True,131000,130998
10,4,191228,False,130997,131000
10,5,191225,True,130996,130997
10,6,191223,False,130995,130996
10,7,192721,True,132017,130995
10,8,191230,True,131001,132017
10,9,191229,False,130994,131001
11,1,189879,False,131004,130030
11,2,191237,True,131005,131004
11,3,191236,False,131006,131005
11,4,193068,True,132249,131006
11,5,191239,True,131003,132249
11,6,191233,False,131002,131003
11,7,194513,True,133219,131002
11,8,191234,True,130986,133219
11,9,191210,False,130984,130986
11,10,191207,False,130030,130984
12,1,189879,True,130030,131004
12,2,191207,True,130984,130030
12,3,190084,True,130188,130984
12,4,190086,True,130189,130188
12,5,191202,True,130981,130189
12,6,191039,True,130865,130981
12,7,191038,True,130864,130865
12,8,191235,True,131004,130864
13,1,191040,False,131000,130864
13,2,191231,False,130998,131000
13,3,191227,False,130999,130998
13,4,191226,False,130989,130999
13,5,191212,False,131005,130989
13,6,191237,False,131004,131005
13,7,191235,False,130864,131004
14,1,191038,False,130865,130864
14,2,191224,True,130997,130865
14,3,191228,True,131000,130997
14,4,191040,True,130864,131000
15,1,189729,False,130996,129907
15,2,191225,False,130997,130996
15,3,191224,False,130865,130997
15,4,191039,False,130981,130865
15,5,191206,False,131007,130981
15,6,191240,False,130983,131007
15,7,191205,False,130875,130983
15,8,191053,False,129907,130875
16,1,189729,True,129907,130996
16,2,191053,True,130875,129907
16,3,190830,True,130715,130875
16,4,190828,True,130714,130715
16,5,192696,True,132000,130714
16,6,194107,True,132942,132000
16,7,194595,True,133279,132942
16,8,191222,True,130995,133279
16,9,191223,True,130996,130995
17,1,192678,False,131989,131987
17,2,192681,False,131990,131989
17,3,192685,False,131988,131990
17,4,192679,False,130874,131988
17,5,194247,False,133032,130874
17,6,194251,True,133036,133032
17,7,194250,False,131987,133036
18,1,191242,True,131008,131009
18,2,191245,True,131011,131008
18,3,191258,True,131020,131011
18,4,191261,True,131022,131020
18,5,191264,True,131024,131022
18,6,191535,True,131214,131024
18,7,193251,True,132372,131214
18,8,191244,True,131010,132372
18,9,191243,False,131009,131010
19,1,191241,False,131013,131009
19,2,192944,True,132168,131013
19,3,191250,True,131014,132168
19,4,191249,False,131012,131014
19,5,191251,True,131015,131012
19,6,191247,True,131011,131015
19,7,191245,False,131008,131011
19,8,191242,False,131009,131008
20,1,190345,False,131016,130380
20,2,191256,True,131015,131016
20,3,191251,False,131012,131015
20,4,191246,False,131018,131012
20,5,192801,True,132070,131018
20,6,191355,True,131088,132070
20,7,191255,True,131017,131088
20,8,191253,False,130380,131017
21,1,190343,False,129908,130379
21,2,191257,True,131019,129908
21,3,191252,True,131016,131019
21,4,190345,True,130380,131016
21,5,191253,True,131017,130380
21,6,190344,True,130379,131017
22,1,191247,False,131015,131011
22,2,191256,False,131016,131015
22,3,191252,False,131019,131016
22,4,191259,True,131020,131019
22,5,191258,False,131011,131020
23,1,189730,False,131021,129908
23,2,191262,True,131022,131021
23,3,191261,False,131020,131022
23,4,191259,False,131019,131020
23,5,191257,False,129908,131019
24,1,189730,True,129908,131021
24,2,190343,True,130379,129908
24,3,191263,True,131023,130379
24,4,191260,True,131021,131023
25,1,191260,False,131023,131021
25,2,191356,True,131089,131023
25,3,191539,True,131217,131089
25,4,191265,True,131024,131217
25,5,191264,False,131022,131024
25,6,191262,False,131021,131022
26,1,190344,False,131017,130379
26,2,191255,False,131088,131017
26,3,191552,True,131226,131088
26,4,191357,True,131089,131226
26,5,191356,False,131023,131089
26,6,191263,False,130379,131023
27,1,192471,False,132888,131846
27,2,194331,True,133092,132888
27,3,194029,True,132889,133092
27,4,194028,False,132196,132889
27,5,192988,False,132197,132196
27,6,192987,False,131846,132197
28,1,191271,True,131028,132197
28,2,191276,True,131032,131028
28,3,191275,False,131031,131032
28,4,191274,True,131030,131031
28,5,191272,False,131029,131030
28,6,192468,True,131846,131029
28,7,192987,True,132197,131846
29,1,189776,False,131035,129946
29,2,191281,True,131036,131035
29,3,191280,True,131034,131036
29,4,191413,True,131128,131034
29,5,191972,True,131505,131128
29,6,193112,True,132278,131505
29,7,191278,True,131033,132278
29,8,191277,False,129946,131033
30,1,190088,True,130190,131032
30,2,191273,True,131031,130190
30,3,191275,True,131032,131031
31,1,190088,False,131032,130190
31,2,191276,False,131028,131032
31,3,192982,True,132193,131028
31,4,191283,True,131037,132193
31,5,191282,True,131036,131037
31,6,191281,False,131035,131036
31,7,191279,False,131030,131035
31,8,191274,False,131031,131030
31,9,191273,False,130190,131031
32,1,190070,False,130738,130176
32,2,193166,True,132315,130738
32,3,191611,True,131267,132315
32,4,190864,True,130737,131267
32,5,190862,False,130736,130737
32,6,192275,True,131712,130736
32,7,192273,True,131711,131712
32,8,190861,True,130176,131711
33,1,190337,True,130374,130382
33,2,190351,True,130385,130374
33,3,191018,True,130850,130385
33,4,190860,True,130736,130850
33,5,190862,True,130737,130736
33,6,190347,True,130382,130737
34,1,190337,False,130382,130374
34,2,190348,True,130381,130382
34,3,190346,False,130384,130381
34,4,190350,True,130383,130384
34,5,191020,True,130852,130383
34,6,190352,True,130385,130852
34,7,190351,False,130374,130385
35,1,189735,False,131040,129911
35,2,191288,True,131041,131040
35,3,191287,True,131039,131041
35,4,191285,True,131038,131039
35,5,191284,False,130746,131038
35,6,190874,False,129911,130746
36,1,190866,False,131077,130739
36,2,191344,False,131079,131077
36,3,191341,False,131053,131079
36,4,191304,False,131038,131053
36,5,191285,False,131039,131038
36,6,191287,False,131041,131039
36,7,191292,False,131045,131041
36,8,191293,False,131042,131045
36,9,191289,False,130918,131042
36,10,191112,False,130741,130918
36,11,190867,False,130739,130741
37,1,191113,True,130917,131964
37,2,191115,True,130919,130917
37,3,191114,False,130918,130919
37,4,191289,True,131042,130918
37,5,191290,True,131043,131042
37,6,192645,True,131964,131043
38,1,190146,False,130741,130237
38,2,191112,True,130918,130741
38,3,191114,True,130919,130918
38,4,192652,True,131969,130919
38,5,190868,True,130740,131969
38,6,191345,True,131081,130740
38,7,191338,True,131076,131081
38,8,191339,True,131077,131076
38,9,190866,True,130739,131077
38,10,190865,False,130237,130739
39,1,191286,False,131044,131040
39,2,191296,True,131047,131044
39,3,191307,True,131055,131047
39,4,192647,True,131966,131055
39,5,191294,True,131043,131966
39,6,191290,False,131042,131043
39,7,191293,True,131045,131042
39,8,191292,True,131041,131045
39,9,191288,False,131040,131041
40,1,189733,False,130746,129910
40,2,191284,True,131038,130746
40,3,191304,True,131053,131038
40,4,190875,True,130745,131053
40,5,191302,True,131051,130745
40,6,190873,True,129910,131051
41,1,190873,False,131051,129910
41,2,191303,False,132900,131051
41,3,194045,False,132899,132900
41,4,194043,False,133260,132899
41,5,194571,True,133259,133260
41,6,194569,False,129910,133259
42,1,189731,True,129909,129912
42,2,189732,True,129910,129909
42,3,194569,True,133259,129910
42,4,191295,True,131046,133259
42,5,189734,True,129912,131046
43,1,189731,False,129912,129909
43,2,191291,True,131044,129912
43,3,191286,True,131040,131044
43,4,189735,True,129911,131040
43,5,190874,True,130746,129911
43,6,189733,True,129910,130746
43,7,189732,False,129909,129910
44,1,189734,False,131046,129912
44,2,191306,True,131054,131046
44,3,191297,True,131047,131054
44,4,191296,False,131044,131047
44,5,191291,False,129912,131044
45,1,191295,False,133259,131046
45,2,194571,False,133260,133259
45,3,194570,False,131050,133260
45,4,191301,False,131048,131050
