nid,x,y,nseq,eid
166,528453.7951852,73358.6750783849,1,206
166,528453.7951852,73358.6750783849,2,704
166,528453.7951852,73358.6750783849,3,192126
496,571579.752150391,73025.6787263907,1,664
496,571579.752150391,73025.6787263907,2,662
496,571579.752150391,73025.6787263907,3,192073
613,612698.842994935,72685.8108696744,1,826
613,612698.842994935,72685.8108696744,2,828
613,612698.842994935,72685.8108696744,3,192427
614,627315.540722673,72477.6698344089,1,825
614,627315.540722673,72477.6698344089,2,827
614,627315.540722673,72477.6698344089,3,192938
1851,593870.12371771,72817.9515853437,1,2635
1851,593870.12371771,72817.9515853437,2,2634
1851,593870.12371771,72817.9515853437,3,189757
2177,398922.172126539,77121.9840697123,1,3117
2177,398922.172126539,77121.9840697123,2,116048
2177,398922.172126539,77121.9840697123,3,192348
2179,424104.136540638,76327.476731871,1,3120
2179,424104.136540638,76327.476731871,2,3119
2179,424104.136540638,76327.476731871,3,190665
2189,445847.392781623,75714.3118849308,1,3136
2189,445847.392781623,75714.3118849308,2,3134
2189,445847.392781623,75714.3118849308,3,3120
2192,455998.836885679,75517.5895704551,1,3139
2192,455998.836885679,75517.5895704551,2,3138
2192,455998.836885679,75517.5895704551,3,192784
2202,468814.483148464,75245.8710112718,1,3154
2202,468814.483148464,75245.8710112718,2,3153
2202,468814.483148464,75245.8710112718,3,192785
2203,476822.542053261,75001.8008681616,1,3157
2203,476822.542053261,75001.8008681616,2,3155
2203,476822.542053261,75001.8008681616,3,192791
2294,519725.273324097,73480.4110971523,1,3289
2294,519725.273324097,73480.4110971523,2,3281
2294,519725.273324097,73480.4110971523,3,192123
2297,489467.591554282,74543.5716363272,1,3296
2297,489467.591554282,74543.5716363272,2,3294
2297,489467.591554282,74543.5716363272,3,189762
2298,505956.079521389,73966.9148205909,1,3295
2298,505956.079521389,73966.9148205909,2,3291
2298,505956.079521389,73966.9148205909,3,189763
2414,556786.258394985,73039.7806559209,1,3468
2414,556786.258394985,73039.7806559209,2,203
2414,556786.258394985,73039.7806559209,3,192816
2418,541439.700846995,73243.659812479,1,3476
2418,541439.700846995,73243.659812479,2,3474
2418,541439.700846995,73243.659812479,3,192822
2419,549256.854798757,73110.3569123515,1,3475
2419,549256.854798757,73110.3569123515,2,3469
2419,549256.854798757,73110.3569123515,3,192819
6876,229366.423417489,98664.7719547445,1,9824
6876,229366.423417489,98664.7719547445,2,9822
6876,229366.423417489,98664.7719547445,3,10603
7429,222891.120224195,110108.897216336,1,190556
7429,222891.120224195,110108.897216336,2,10603
7429,222891.120224195,110108.897216336,3,9825
7717,246792.718498404,165244.413078628,1,189753
7717,246792.718498404,165244.413078628,2,11023
7717,246792.718498404,165244.413078628,3,11021
7718,241973.217499197,161011.291490653,1,11023
7718,241973.217499197,161011.291490653,2,11022
7718,241973.217499197,161011.291490653,3,9946
7722,244020.912756811,154510.591191145,1,11030
7722,244020.912756811,154510.591191145,2,11028
7722,244020.912756811,154510.591191145,3,11022
8361,235327.521293391,133182.988182384,1,190553
8361,235327.521293391,133182.988182384,2,11957
8361,235327.521293391,133182.988182384,3,11955
8362,224191.06479489,130344.25156873,1,190555
8362,224191.06479489,130344.25156873,2,11956
8362,224191.06479489,130344.25156873,3,10605
39710,667107.178725234,72564.2249363091,1,58273
39710,667107.178725234,72564.2249363091,2,58272
39710,667107.178725234,72564.2249363091,3,60486
40573,660039.222393385,72368.0742915087,1,59522
40573,660039.222393385,72368.0742915087,2,59521
40573,660039.222393385,72368.0742915087,3,192211
40622,697625.066524582,73159.2230039648,1,59588
40622,697625.066524582,73159.2230039648,2,59586
40622,697625.066524582,73159.2230039648,3,191364
40938,725863.105464291,73559.7073381335,1,60057
40938,725863.105464291,73559.7073381335,2,60059
40938,725863.105464291,73559.7073381335,3,191371
41229,664405.650461218,72496.8953750908,1,60487
41229,664405.650461218,72496.8953750908,2,60485
41229,664405.650461218,72496.8953750908,3,192217
41230,666379.953641785,72550.6112532137,1,60486
41230,666379.953641785,72550.6112532137,2,59520
41230,666379.953641785,72550.6112532137,3,192307
41268,670270.132063479,72632.9176028942,1,60545
41268,670270.132063479,72632.9176028942,2,60543
41268,670270.132063479,72632.9176028942,3,190221
41269,673439.478867022,72704.755651529,1,60544
41269,673439.478867022,72704.755651529,2,59881
41269,673439.478867022,72704.755651529,3,189921
42534,693144.296561216,73083.0615132844,1,62412
42534,693144.296561216,73083.0615132844,2,59593
42534,693144.296561216,73083.0615132844,3,191089
42536,683672.838803572,72879.1370102036,1,62416
42536,683672.838803572,72879.1370102036,2,62413
42536,683672.838803572,72879.1370102036,3,191085
42537,679738.897747445,72814.6308373899,1,62418
42537,679738.897747445,72814.6308373899,2,62417
42537,679738.897747445,72814.6308373899,3,194001
42826,636052.453816493,72340.9297701031,1,62857
42826,636052.453816493,72340.9297701031,2,62855
42826,636052.453816493,72340.9297701031,3,192935
42827,644358.923455494,72253.9456167078,1,62856
42827,644358.923455494,72253.9456167078,2,59694
42827,644358.923455494,72253.9456167078,3,62857
42830,657960.836262177,72308.9064412005,1,62863
42830,657960.836262177,72308.9064412005,2,62861
42830,657960.836262177,72308.9064412005,3,192324
42831,658081.357040772,72312.3888712514,1,62862
42831,658081.357040772,72312.3888712514,2,59106
42831,658081.357040772,72312.3888712514,3,192314
42984,708609.232305467,73253.2338040136,1,63091
42984,708609.232305467,73253.2338040136,2,63090
42984,708609.232305467,73253.2338040136,3,191365
43198,747646.012416993,73869.9302982153,1,63405
43198,747646.012416993,73869.9302982153,2,63403
43198,747646.012416993,73869.9302982153,3,190278
58230,697286.332941456,253177.521801028,1,85432
58230,697286.332941456,253177.521801028,2,193118
58230,697286.332941456,253177.521801028,3,85433
58440,470181.061790877,256956.285461761,1,193026
58440,470181.061790877,256956.285461761,2,85735
58440,470181.061790877,256956.285461761,3,85734
58568,531744.066352785,257186.921842214,1,85921
58568,531744.066352785,257186.921842214,2,88145
58568,531744.066352785,257186.921842214,3,86476
58952,347682.739186644,244339.703218484,1,87374
58952,347682.739186644,244339.703218484,2,86489
58952,347682.739186644,244339.703218484,3,86488
59009,585238.917719337,255701.850016669,1,192884
59009,585238.917719337,255701.850016669,2,86571
59009,585238.917719337,255701.850016669,3,86570
59173,793254.13643873,251977.535178333,1,191483
59173,793254.13643873,251977.535178333,2,86812
59173,793254.13643873,251977.535178333,3,86813
59278,393121.883801422,242872.420356074,1,192418
59278,393121.883801422,242872.420356074,2,86966
59278,393121.883801422,242872.420356074,3,86963
59279,416154.11310475,257171.224316174,1,86968
59279,416154.11310475,257171.224316174,2,86967
59279,416154.11310475,257171.224316174,3,88519
59339,478745.525737524,256926.722801037,1,88171
59339,478745.525737524,256926.722801037,2,87058
59339,478745.525737524,256926.722801037,3,87056
59340,471550.180875382,256958.294685953,1,193029
59340,471550.180875382,256958.294685953,2,87057
59340,471550.180875382,256958.294685953,3,87059
59346,468030.131951781,256953.991998437,1,189805
59346,468030.131951781,256953.991998437,2,87068
59346,468030.131951781,256953.991998437,3,87066
59360,691707.53345165,253699.415668082,1,85433
59360,691707.53345165,253699.415668082,2,87087
59360,691707.53345165,253699.415668082,3,87086
59519,346062.101604678,244397.163018143,1,190670
59519,346062.101604678,244397.163018143,2,87325
59519,346062.101604678,244397.163018143,3,87324
59520,320531.301736499,245256.258932091,1,189808
59520,320531.301736499,245256.258932091,2,87327
59520,320531.301736499,245256.258932091,3,87326
59552,377024.532811067,243350.137373799,1,86966
59552,377024.532811067,243350.137373799,2,87375
59552,377024.532811067,243350.137373799,3,87373
59553,361588.836682603,243887.157804541,1,190669
59553,361588.836682603,243887.157804541,2,87374
59553,361588.836682603,243887.157804541,3,85775
59823,709295.419110248,252531.469957351,1,85542
59823,709295.419110248,252531.469957351,2,87771
59823,709295.419110248,252531.469957351,3,87769
59824,724804.012717457,252247.098325125,1,87770
59824,724804.012717457,252247.098325125,2,190836
59824,724804.012717457,252247.098325125,3,87771
59900,602422.089470852,254658.628025516,1,192878
59900,602422.089470852,254658.628025516,2,87885
59900,602422.089470852,254658.628025516,3,87886
59903,622791.536932803,253827.015581297,1,87894
59903,622791.536932803,253827.015581297,2,87890
59903,622791.536932803,253827.015581297,3,87888
59905,650415.366190209,253694.007209682,1,88318
59905,650415.366190209,253694.007209682,2,87895
59905,650415.366190209,253694.007209682,3,87893
59906,629937.54400535,253533.335029193,1,190157
59906,629937.54400535,253533.335029193,2,87894
59906,629937.54400535,253533.335029193,3,87892
60075,563213.236390102,257185.51304171,1,190472
60075,563213.236390102,257185.51304171,2,88146
60075,563213.236390102,257185.51304171,3,88144
60076,548892.908440277,255955.231691412,1,88151
60076,548892.908440277,255955.231691412,2,190010
60076,548892.908440277,255955.231691412,3,88145
60093,480524.357426764,256918.947264982,1,194117
60093,480524.357426764,256918.947264982,2,88171
60093,480524.357426764,256918.947264982,3,88165
60101,448484.018370906,256918.702463158,1,88185
60101,448484.018370906,256918.702463158,2,189806
60101,448484.018370906,256918.702463158,3,88187
60102,439271.199789561,256825.180483472,1,193782
60102,439271.199789561,256825.180483472,2,88186
60102,439271.199789561,256825.180483472,3,88184
60149,758636.213936547,252062.257666926,1,88259
60149,758636.213936547,252062.257666926,2,88255
