rn,seq,eid,rev,nodea,nodeb
0,1,194658,True,133336,137034
0,2,204099,True,139921,133336
0,3,199037,True,136533,139921
0,4,199036,True,136532,136533
0,5,199790,True,137051,136532
0,6,199765,True,137034,137051
1,1,210490,False,144181,144083
1,2,210635,False,144132,144181
1,3,210559,False,144129,144132
1,4,210555,False,144083,144129
2,1,208738,False,144129,142937
2,2,210559,True,144132,144129
2,3,210558,False,144131,144132
2,4,210557,True,144130,144131
2,5,210561,True,144133,144130
2,6,210560,False,142937,144133
3,1,204102,False,142556,139923
3,2,208162,False,142557,142556
3,3,208161,False,144012,142557
3,4,210383,False,144013,144012
3,5,210382,False,139923,144013
4,1,197696,True,135609,142557
4,2,208166,True,142561,135609
4,3,210381,True,144012,142561
4,4,208161,True,142557,144012
5,1,198013,False,144013,135830
5,2,210383,True,144012,144013
5,3,210381,False,142561,144012
5,4,208167,False,142560,142561
5,5,208165,False,135830,142560
6,1,198013,True,135830,144013
6,2,208165,True,142560,135830
6,3,204097,True,139920,142560
6,4,204101,True,139923,139920
6,5,210382,True,144013,139923
7,1,197696,False,142557,135609
7,2,208162,True,142556,142557
7,3,208160,False,142558,142556
7,4,210489,True,144083,142558
7,5,210555,True,144129,144083
7,6,208738,True,142937,144129
7,7,208168,True,142559,142937
7,8,208164,True,142555,142559
7,9,208159,False,136420,142555
7,10,198880,False,139919,136420
7,11,204098,False,139920,139919
7,12,204097,False,142560,139920
7,13,208167,True,142561,142560
7,14,208166,False,135609,142561
8,1,199037,False,139921,136533
8,2,204103,True,139924,139921
8,3,208163,True,142558,139924
8,4,208160,True,142556,142558
8,5,204102,True,139923,142556
8,6,204101,False,139920,139923
8,7,204098,True,139919,139920
8,8,204096,False,139922,139919
8,9,204909,True,140442,139922
8,10,204104,True,136533,140442
9,1,194637,True,133316,136420
9,2,198755,True,136332,133316
9,3,198757,True,136333,136332
9,4,204908,True,140441,136333
9,5,204100,True,139922,140441
9,6,204096,True,139919,139922
9,7,198880,True,136420,139919
10,1,194658,False,137034,133336
10,2,199767,False,144086,137034
10,3,210493,True,144085,144086
10,4,210491,False,137045,144085
10,5,199781,False,144087,137045
10,6,210495,True,144084,144087
10,7,210556,True,144131,144084
10,8,210558,True,144132,144131
10,9,210635,True,144181,144132
10,10,210490,True,144083,144181
10,11,210489,False,142558,144083
10,12,208163,False,139924,142558
10,13,204103,False,139921,139924
10,14,204099,False,133336,139921
11,1,135350,False,133425,92544
11,2,194755,False,134645,133425
11,3,199118,True,136587,134645
11,4,199114,True,136584,136587
11,5,210658,True,144197,136584
11,6,199115,True,136585,144197
11,7,199117,True,136586,136585
11,8,200109,True,137266,136586
11,9,200106,True,137265,137266
11,10,196338,True,134646,137265
11,11,196337,False,92544,134646
12,1,199115,False,144197,136585
12,2,210658,False,136584,144197
12,3,199116,False,136585,136584
13,1,199114,False,136587,136584
13,2,199119,True,136586,136587
13,3,199117,False,136585,136586
13,4,199116,True,136584,136585
14,1,196336,False,138653,134645
14,2,203318,True,139404,138653
14,3,206474,True,141462,139404
14,4,202176,True,138652,141462
14,5,202174,False,137263,138652
14,6,200110,False,137266,137263
14,7,200109,False,136586,137266
14,8,199119,False,136587,136586
14,9,199118,False,134645,136587
15,1,199405,False,138656,136785
15,2,209617,True,143507,138656
15,3,209614,True,143505,143507
15,4,202180,True,138655,143505
15,5,210415,True,144036,138655
15,6,202178,True,138654,144036
15,7,202177,False,136785,138654
16,1,199406,False,138654,136784
16,2,202178,False,144036,138654
16,3,210416,True,144035,144036
16,4,210418,True,144037,144035
16,5,210417,False,144034,144037
16,6,210414,True,144033,144034
16,7,210412,False,138657,144033
16,8,202182,False,138658,138657
16,9,202181,False,136784,138658
17,1,196343,True,134649,136785
17,2,196345,True,134651,134649
17,3,196344,False,134650,134651
17,4,207652,True,142225,134650
17,5,206190,True,141280,142225
17,6,206192,True,141281,141280
17,7,199124,True,136591,141281
17,8,199126,True,136592,136591
17,9,202179,True,138656,136592
17,10,199405,True,136785,138656
18,1,195234,False,134651,133816
18,2,196345,False,134649,134651
18,3,196343,False,136785,134649
18,4,202177,True,138654,136785
18,5,199406,True,136784,138654
18,6,202181,True,138658,136784
18,7,202183,True,138659,138658
18,8,199404,True,136783,138659
18,9,199403,False,133816,136783
19,1,202182,True,138657,138658
19,2,210412,True,144033,138657
19,3,210563,True,144135,144033
19,4,206193,True,141282,144135
19,5,206189,True,141279,141282
19,6,208541,True,142808,141279
19,7,210320,True,143970,142808
19,8,202184,True,138659,143970
19,9,202183,False,138658,138659
20,1,199404,False,138659,136783
20,2,202184,False,143970,138659
20,3,210320,False,142808,143970
20,4,208543,False,143566,142808
20,5,209707,False,143567,143566
20,6,209706,False,136783,143567
21,1,195234,True,133816,134651
21,2,199403,True,136783,133816
21,3,209706,True,143567,136783
21,4,207654,True,142227,143567
21,5,196342,True,134650,142227
21,6,196344,True,134651,134650
22,1,196342,False,142227,134650
22,2,207655,True,142226,142227
22,3,207657,True,142229,142226
22,4,207653,True,142225,142229
22,5,207652,False,134650,142225
23,1,207654,False,143567,142227
23,2,209707,True,143566,143567
23,3,209705,False,142809,143566
23,4,208542,False,142229,142809
23,5,207657,False,142226,142229
23,6,207655,False,142227,142226
24,1,206190,False,142225,141280
24,2,207653,False,142229,142225
24,3,208542,True,142809,142229
24,4,207658,True,142228,142809
24,5,207656,False,141280,142228
25,1,206191,False,142228,141279
25,2,207658,False,142809,142228
25,3,209705,True,143566,142809
25,4,208543,True,142808,143566
25,5,208541,False,141279,142808
26,1,206189,False,141282,141279
26,2,206194,True,141281,141282
26,3,206192,False,141280,141281
26,4,207656,True,142228,141280
26,5,206191,True,141279,142228
27,1,209593,False,144134,143491
27,2,210564,True,144135,144134
27,3,210563,False,144033,144135
27,4,210414,False,144034,144033
27,5,210413,False,143491,144034
28,1,195579,False,136590,134083
28,2,199125,False,136591,136590
28,3,199124,False,141281,136591
28,4,206194,False,141282,141281
28,5,206193,False,144135,141282
28,6,210564,False,144134,144135
28,7,210562,False,143473,144134
28,8,209565,False,134083,143473
29,1,197680,False,136469,135595
29,2,198954,False,136593,136469
29,3,199128,True,136592,136593
29,4,199126,False,136591,136592
29,5,199125,True,136590,136591
29,6,199123,False,135595,136590
30,1,197675,False,135838,135594
30,2,207450,True,142100,135838
30,3,198026,True,135837,142100
30,4,198024,False,135594,135837
31,1,195579,True,134083,136590
31,2,209565,True,143473,134083
31,3,207839,True,142346,143473
31,4,207455,True,142104,142346
31,5,198025,True,135838,142104
31,6,197675,True,135594,135838
31,7,197676,True,135595,135594
31,8,199123,True,136590,135595
32,1,195583,True,134087,140097
32,1,195582,True,134086,138667
32,1,195580,True,134084,143995
32,1,195581,True,134085,143993
32,1,195584,True,134088,143469
32,2,202200,True,138671,134087
32,2,210353,True,143994,134084
32,2,209559,True,143470,134088
32,2,210351,True,143992,134085
32,2,210705,True,144230,134086
32,3,210352,True,143993,143992
32,3,202192,True,138666,144230
32,3,210349,True,143991,143470
32,3,210355,True,143995,143994
32,3,199407,True,136787,138671
32,4,210348,True,143990,143991
32,4,202194,True,138667,138666
32,4,199409,True,136788,136787
32,5,209557,True,143469,143990
32,5,204369,True,140097,136788
33,1,199410,False,136791,136788
33,2,199414,False,138669,136791
33,3,202198,False,140096,138669
33,4,204370,True,140097,140096
33,5,204369,False,136788,140097
34,1,199408,True,136786,136787
34,2,199411,True,136790,136786
34,3,199413,True,136791,136790
34,4,199410,True,136788,136791
34,5,199409,False,136787,136788
35,1,199412,True,136789,136790
35,2,202197,True,138669,136789
35,3,199414,True,136791,138669
35,4,199413,False,136790,136791
36,1,199407,False,138671,136787
36,1,202193,True,138665,138666
36,2,210699,True,144226,138665
36,2,209555,True,143467,138671
36,3,202201,True,138670,143467
