nid,x,y,nseq,eid
6963,2052536.9127186,7722529.85073091,1,9944
6963,2052536.9127186,7722529.85073091,2,196555
6963,2052536.9127186,7722529.85073091,3,10946
7044,2053101.8639392,7712569.14200792,1,10937
7044,2053101.8639392,7712569.14200792,2,10055
7654,2052008.85903795,7729425.2722529,1,10945
7654,2052008.85903795,7729425.2722529,2,10934
7654,2052008.85903795,7729425.2722529,3,10932
7655,2038611.78088029,7733122.95435853,1,10934
7655,2038611.78088029,7733122.95435853,2,10933
7655,2038611.78088029,7733122.95435853,3,9898
7658,2053331.25166805,7708033.89281351,1,10951
7658,2053331.25166805,7708033.89281351,2,10938
7659,2053168.2740363,7711256.68025296,1,10057
7659,2053168.2740363,7711256.68025296,2,10938
7659,2053168.2740363,7711256.68025296,3,10937
7664,2052145.27274482,7729492.97899772,1,10947
7664,2052145.27274482,7729492.97899772,2,202795
7664,2052145.27274482,7729492.97899772,3,10945
7668,2053331.52051949,7708029.5256473,1,10943
7668,2053331.52051949,7708029.5256473,2,195278
7668,2053331.52051949,7708029.5256473,3,10951
7669,2054612.40196327,7684154.42127756,1,91202
7669,2054612.40196327,7684154.42127756,2,10953
8206,2052658.74080655,7720413.17360381,1,10102
8206,2052658.74080655,7720413.17360381,2,11915
8206,2052658.74080655,7720413.17360381,3,11736
8330,2052930.0761018,7715763.87481513,1,11914
8330,2052930.0761018,7715763.87481513,2,196547
8330,2052930.0761018,7715763.87481513,3,11916
8331,2052819.44323493,7717676.96483551,1,11737
8331,2052819.44323493,7717676.96483551,2,196549
8331,2052819.44323493,7717676.96483551,3,11915
60829,2111668.3336047,7448816.43029932,1,89185
60829,2111668.3336047,7448816.43029932,2,210179
61043,2114365.61681761,7434368.90242556,1,89484
61043,2114365.61681761,7434368.90242556,2,89481
61043,2114365.61681761,7434368.90242556,3,198941
61045,2100182.91267676,7381833.14169023,1,89490
61045,2100182.91267676,7381833.14169023,2,91291
61216,2058862.30863481,7605613.91249665,1,200140
61216,2058862.30863481,7605613.91249665,2,89732
61231,2067641.82041025,7550898.93876734,1,89754
61231,2067641.82041025,7550898.93876734,2,195996
61231,2067641.82041025,7550898.93876734,3,91322
61957,2056938.50583602,7641342.10698498,1,91187
61957,2056938.50583602,7641342.10698498,2,90813
62074,2112909.66552708,7469546.13162537,1,90987
62074,2112909.66552708,7469546.13162537,2,89185
62074,2112909.66552708,7469546.13162537,3,90989
62076,2092925.0979214,7499694.34668089,1,90990
62076,2092925.0979214,7499694.34668089,2,195142
62076,2092925.0979214,7499694.34668089,3,92179
62198,2059254.55596721,7598721.91407246,1,91169
62198,2059254.55596721,7598721.91407246,2,91321
62198,2059254.55596721,7598721.91407246,3,91172
62199,2058715.69172204,7608477.536344,1,91174
62199,2058715.69172204,7608477.536344,2,89732
62199,2058715.69172204,7608477.536344,3,91176
62201,2058547.49374457,7611277.77161224,1,91176
62201,2058547.49374457,7611277.77161224,2,91177
62207,2058370.33728272,7614573.92602466,1,91185
62207,2058370.33728272,7614573.92602466,2,91177
62207,2058370.33728272,7614573.92602466,3,91189
62208,2057282.66907437,7634674.96181775,1,91188
62208,2057282.66907437,7634674.96181775,2,91191
62208,2057282.66907437,7634674.96181775,3,91187
62210,2057307.98954549,7634184.43792504,1,197667
62210,2057307.98954549,7634184.43792504,2,91191
62217,2055441.10002844,7669116.95432301,1,91201
62217,2055441.10002844,7669116.95432301,2,197665
62217,2055441.10002844,7669116.95432301,3,209352
62217,2055441.10002844,7669116.95432301,4,91203
62218,2055375.55251854,7670371.84225276,1,90108
62218,2055375.55251854,7670371.84225276,2,91203
62218,2055375.55251854,7670371.84225276,3,91202
62273,2102581.45775725,7346609.52130444,1,91289
62273,2102581.45775725,7346609.52130444,2,91306
62277,2105473.71998819,7351363.4878791,1,91290
62277,2105473.71998819,7351363.4878791,2,200777
62277,2105473.71998819,7351363.4878791,3,91292
62278,2099863.00009173,7381705.10338082,1,91291
62278,2099863.00009173,7381705.10338082,2,89486
62278,2099863.00009173,7381705.10338082,3,198936
62279,2097986.93378339,7373849.26789459,1,91293
62279,2097986.93378339,7373849.26789459,2,199310
62288,2085560.0835294,7314162.25893847,1,91307
62288,2085560.0835294,7314162.25893847,2,200239
62289,2103886.52686187,7342793.59245831,1,91284
62289,2103886.52686187,7342793.59245831,2,194846
62289,2103886.52686187,7342793.59245831,3,91306
62299,2060328.26659559,7579042.66954588,1,91173
62299,2060328.26659559,7579042.66954588,2,91323
62299,2060328.26659559,7579042.66954588,3,91321
62300,2060669.59455644,7572601.62683774,1,200137
62300,2060669.59455644,7572601.62683774,2,91323
62864,2077806.34870489,7540784.8421566,1,90695
62864,2077806.34870489,7540784.8421566,2,195144
62864,2077806.34870489,7540784.8421566,3,92176
91857,1043012.88987322,7552243.11494159,1,134356
91857,1043012.88987322,7552243.11494159,2,135305
91857,1043012.88987322,7552243.11494159,3,134357
91912,898983.899143588,7559630.35233175,1,134427
91912,898983.899143588,7559630.35233175,2,203489
91912,898983.899143588,7559630.35233175,3,134428
92147,1213265.13139916,7626922.18034016,1,134846
92147,1213265.13139916,7626922.18034016,2,134759
92147,1213265.13139916,7626922.18034016,3,134592
92208,1216992.28461941,7720572.23727351,1,195540
92208,1216992.28461941,7720572.23727351,2,134849
92208,1216992.28461941,7720572.23727351,3,134845
92209,1213821.17902813,7646129.76001349,1,199574
92209,1213821.17902813,7646129.76001349,2,134846
92209,1213821.17902813,7646129.76001349,3,134842
92460,1220031.42682109,7801801.94172487,1,195539
92460,1220031.42682109,7801801.94172487,2,135222
92460,1220031.42682109,7801801.94172487,3,134774
92461,1220422.32965415,7814721.41672981,1,205036
92461,1220422.32965415,7814721.41672981,2,135224
92461,1220422.32965415,7814721.41672981,3,135223
92486,874381.214042534,7548238.83606331,1,135270
92486,874381.214042534,7548238.83606331,2,135262
92486,874381.214042534,7548238.83606331,3,206517
92492,876636.765256119,7541334.14080589,1,135269
92492,876636.765256119,7541334.14080589,2,135260
92492,876636.765256119,7541334.14080589,3,210924
92498,875166.588402485,7559797.10999101,1,203518
92498,875166.588402485,7559797.10999101,2,135279
92498,875166.588402485,7559797.10999101,3,134675
92499,890923.152513164,7560093.52977198,1,196833
92499,890923.152513164,7560093.52977198,2,135281
92499,890923.152513164,7560093.52977198,3,135280
92501,876261.725791793,7560885.0300839,1,135868
92501,876261.725791793,7560885.0300839,2,135283
92501,876261.725791793,7560885.0300839,3,135282
92515,1091826.61489232,7550172.77659881,1,135304
92515,1091826.61489232,7550172.77659881,2,196612
92515,1091826.61489232,7550172.77659881,3,135305
92537,1213226.59860454,7625463.86321042,1,134759
92537,1213226.59860454,7625463.86321042,2,135339
92537,1213226.59860454,7625463.86321042,3,135337
92538,1212766.89656742,7608625.04139215,1,135339
92538,1212766.89656742,7608625.04139215,2,135338
92538,1212766.89656742,7608625.04139215,3,135319
92544,1212083.38722493,7583350.85689285,1,196337
92544,1212083.38722493,7583350.85689285,2,135350
92544,1212083.38722493,7583350.85689285,3,135348
92545,1149007.98454564,7548106.62732339,1,135306
92545,1149007.98454564,7548106.62732339,2,194752
92545,1149007.98454564,7548106.62732339,3,135349
92605,1222145.97732275,7874072.4265917,1,203142
92605,1222145.97732275,7874072.4265917,2,135437
92605,1222145.97732275,7874072.4265917,3,134752
92817,1224655.21279061,7961110.45681892,1,194986
92817,1224655.21279061,7961110.45681892,2,135755
92817,1224655.21279061,7961110.45681892,3,135440
92893,879635.017338437,7560717.05121305,1,135867
92893,879635.017338437,7560717.05121305,2,203501
92893,879635.017338437,7560717.05121305,3,135869
92894,878134.407180643,7560806.8177796,1,135284
92894,878134.407180643,7560806.8177796,2,135869
92894,878134.407180643,7560806.8177796,3,135868
115547,1891623.59723788,7757772.48569934,1,171220
115547,1891623.59723788,7757772.48569934,2,168964
115547,1891623.59723788,7757772.48569934,3,168963
115553,1964915.40516386,7759285.09567836,1,168867
115553,1964915.40516386,7759285.09567836,2,195505
115553,1964915.40516386,7759285.09567836,3,168971
115675,1499963.84820835,8008647.28728438,1,169160
115675,1499963.84820835,8008647.28728438,2,194769
115675,1499963.84820835,8008647.28728438,3,171323
115845,1499964.66771521,7922191.98567223,1,169417
115845,1499964.66771521,7922191.98567223,2,202156
115845,1499964.66771521,7922191.98567223,3,170761
115850,1851912.23169133,7743000.6235819,1,200450
115850,1851912.23169133,7743000.6235819,2,169424
115850,1851912.23169133,7743000.6235819,3,169423
115853,1828479.92640756,7745297.21806733,1,203825
115853,1828479.92640756,7745297.21806733,2,169428
115853,1828479.92640756,7745297.21806733,3,169427
115854,1811500.10915888,7752537.46033047,1,169430
115854,1811500.10915888,7752537.46033047,2,203833
115892,1349813.24128412,8042691.83242433,1,197858
