rn,seq,eid,rev,nodea,nodeb
0,1,211232,False,145292,144624
0,2,212224,False,145294,145292
0,3,212227,False,145508,145294
0,4,212540,False,145509,145508
0,5,212539,False,145627,145509
0,6,212725,False,144762,145627
0,7,211434,False,144910,144762
0,8,211655,False,144911,144910
0,9,211654,False,144624,144911
1,1,211172,False,144583,144582
1,2,212769,True,145656,144583
1,3,211430,True,144761,145656
1,4,211432,True,144762,144761
1,5,212725,True,145627,144762
1,6,212539,True,145509,145627
1,7,211603,True,144877,145509
1,8,211174,True,144582,144877
2,1,65475,False,86450,44644
2,2,126514,False,86454,86450
2,3,126513,False,144475,86454
2,4,211132,True,144553,144475
2,5,211029,True,144474,144553
2,6,211349,True,144705,144474
2,7,211639,True,144902,144705
2,8,211839,True,145038,144902
2,9,212598,True,145546,145038
2,10,211833,True,145034,145546
2,11,211141,True,144560,145034
2,12,211140,True,144559,144560
2,13,211031,True,144476,144559
2,14,211030,False,44810,144476
2,15,65718,False,44644,44810
3,1,211140,False,144560,144559
3,2,211832,True,145033,144560
3,3,211842,True,145041,145033
3,4,211180,True,144588,145041
3,5,211176,True,144585,144588
3,6,211857,True,145050,144585
3,7,211142,True,144559,145050
4,1,211141,False,145034,144560
4,2,211834,True,145033,145034
4,3,211832,False,144560,145033
5,1,211833,False,145546,145034
5,2,212598,False,145038,145546
5,3,211843,False,145041,145038
5,4,211842,False,145033,145041
5,5,211834,False,145034,145033
6,1,211154,False,144587,144569
6,2,211181,False,144588,144587
6,3,211180,False,145041,144588
6,4,211843,True,145038,145041
6,5,211839,False,144902,145038
6,6,211640,False,144570,144902
6,7,211155,False,145040,144570
6,8,211844,True,145039,145040
6,9,211840,False,144569,145039
7,1,211154,True,144569,144587
7,2,211840,True,145039,144569
7,3,211177,True,144586,145039
7,4,211179,True,144587,144586
8,1,211176,False,144588,144585
8,2,211181,True,144587,144588
8,3,211179,False,144586,144587
8,4,211635,True,144899,144586
8,5,211637,True,144900,144899
8,6,211178,True,144585,144900
9,1,211841,False,145609,145040
9,2,212698,True,145039,145609
9,3,211844,False,145040,145039
10,1,211177,False,145039,144586
10,2,212698,False,145609,145039
10,3,212697,False,144898,145609
10,4,211636,False,144899,144898
10,5,211635,False,144586,144899
11,1,211350,False,144897,144705
11,2,212705,True,145614,144897
11,3,211633,True,144896,145614
11,4,211631,False,144723,144896
11,5,211376,False,144901,144723
11,6,212614,True,145555,144901
11,7,211860,True,145052,145555
11,8,211641,True,144900,145052
11,9,211637,False,144899,144900
11,10,211636,True,144898,144899
11,11,211634,False,144570,144898
11,12,211640,True,144902,144570
11,13,211639,False,144705,144902
12,1,211155,True,144570,145040
12,2,211634,True,144898,144570
12,3,212697,True,145609,144898
12,4,211841,True,145040,145609
13,1,211157,False,145046,144571
13,2,211850,True,145045,145046
13,3,212804,True,145681,145045
13,4,211853,True,145048,145681
13,5,211852,False,145047,145048
13,6,211854,True,145044,145047
13,7,211848,False,144571,145044
14,1,65618,False,44809,44738
14,2,65719,False,144476,44809
14,3,211031,False,144559,144476
14,4,211849,True,145046,144559
14,5,211157,True,144571,145046
14,6,211156,False,44738,144571
15,1,211256,False,145048,144641
15,2,211853,False,145681,145048
15,3,212807,True,145683,145681
15,4,212806,True,145682,145683
15,5,212805,False,145465,145682
15,6,212473,False,144641,145465
16,1,211256,True,144641,145048
16,2,212473,True,145465,144641
16,3,212475,True,145466,145465
16,4,212624,True,145562,145466
16,5,211851,True,145047,145562
16,6,211852,True,145048,145047
17,1,211142,False,145050,144559
17,2,211859,False,145051,145050
17,3,211858,False,145692,145051
17,4,212823,True,145694,145692
17,5,212822,False,145547,145694
17,6,212599,False,145693,145547
17,7,212824,True,145691,145693
17,8,212819,False,144466,145691
17,9,212723,False,145626,144466
17,10,212724,False,145625,145626
17,11,212722,False,145464,145625
17,12,212474,False,145682,145464
17,13,212806,False,145683,145682
17,14,212807,False,145681,145683
17,15,212804,False,145045,145681
17,16,211850,False,145046,145045
17,17,211849,False,144559,145046
18,1,211352,True,144706,145468
18,2,211354,True,144708,144706
18,3,211353,False,144707,144708
18,4,211806,True,145017,144707
18,5,212476,True,145467,145017
18,6,212478,True,145468,145467
19,1,211808,False,145561,145017
19,2,212625,False,145562,145561
19,3,212624,False,145466,145562
19,4,212477,False,145467,145466
19,5,212476,False,145017,145467
20,1,212474,True,145464,145682
20,2,212722,True,145625,145464
20,3,212479,True,145468,145625
20,4,212478,False,145467,145468
20,5,212477,True,145466,145467
20,6,212475,False,145465,145466
20,7,212805,True,145682,145465
21,1,211018,True,144466,144683
21,2,212819,True,145691,144466
21,3,211539,True,144835,145691
21,4,211318,True,144684,144835
21,5,211317,True,144683,144684
22,1,211018,False,144683,144466
22,2,211319,False,144708,144683
22,3,211354,False,144706,144708
22,4,211352,False,145468,144706
22,5,212479,False,145625,145468
22,6,212724,True,145626,145625
22,7,212723,True,144466,145626
23,1,211317,False,144684,144683
23,2,211535,True,144832,144684
23,3,211351,True,144707,144832
23,4,211353,True,144708,144707
23,5,211319,True,144683,144708
24,1,211536,False,144938,144833
24,2,211697,False,145015,144938
24,3,212623,True,145561,145015
24,4,211808,True,145017,145561
24,5,211807,True,145016,145017
24,6,211805,False,144833,145016
25,1,211351,False,144832,144707
25,2,211537,False,145016,144832
25,3,211807,False,145017,145016
25,4,211806,False,144707,145017
26,1,211318,False,144835,144684
26,2,211540,True,144834,144835
26,3,211538,False,144833,144834
26,4,211805,True,145016,144833
26,5,211537,True,144832,145016
26,6,211535,False,144684,144832
27,1,211078,True,144512,144834
27,2,211696,True,144939,144512
27,3,211695,True,144938,144939
27,4,211536,True,144833,144938
27,5,211538,True,144834,144833
28,1,212599,True,145547,145693
28,2,212822,True,145694,145547
28,3,212821,True,145693,145694
29,1,211078,False,144834,144512
29,2,211540,False,144835,144834
29,3,211539,False,145691,144835
29,4,212824,False,145693,145691
29,5,212821,False,145694,145693
29,6,212823,False,145692,145694
29,7,212820,False,145035,145692
29,8,211836,False,145036,145035
29,9,211835,False,144939,145036
29,10,211696,False,144512,144939
30,1,211836,True,145035,145036
30,2,211845,True,145042,145035
30,3,212619,True,145559,145042
30,4,211838,True,145037,145559
30,5,211837,False,145036,145037
31,1,211695,False,144939,144938
31,2,211835,True,145036,144939
31,3,211837,True,145037,145036
31,4,211804,True,145015,145037
31,5,211697,True,144938,145015
32,1,211846,False,145661,145042
32,2,212777,False,145660,145661
32,3,212775,False,145559,145660
32,4,212619,False,145042,145559
33,1,211845,False,145035,145042
33,2,212820,True,145692,145035
33,3,211858,True,145051,145692
33,4,211847,True,145043,145051
33,5,211855,True,145049,145043
33,6,212773,True,145659,145049
33,7,212776,True,145661,145659
33,8,211846,True,145042,145661
34,1,211178,False,144900,144585
34,2,211861,True,145053,144900
34,3,212778,True,145662,145053
34,4,211856,True,145049,145662
34,5,211855,False,145043,145049
34,6,211847,False,145051,145043
34,7,211859,True,145050,145051
34,8,211857,False,144585,145050
35,1,212620,False,145660,145557
35,2,212777,True,145661,145660
35,3,212776,False,145659,145661
35,4,212774,True,145658,145659
35,5,212772,False,145557,145658
36,1,211856,False,145662,145049
36,2,212778,False,145053,145662
36,3,211862,False,145658,145053
36,4,212774,False,145659,145658
36,5,212773,False,145049,145659
37,1,211641,False,145052,144900
37,2,212617,True,145557,145052
37,3,212772,True,145658,145557
37,4,211862,True,145053,145658
37,5,211861,False,144900,145053
38,1,65728,False,145044,44818
38,2,211854,False,145047,145044
38,3,211851,False,145562,145047
38,4,212625,True,145561,145562
38,5,212623,False,145015,145561
38,6,211804,False,145037,145015
38,7,211838,False,145559,145037
38,8,212775,True,145660,145559
38,9,212620,True,145557,145660
38,10,212617,False,145052,145557
38,11,211860,False,145555,145052
38,12,212616,False,145558,145555
38,13,212622,True,145560,145558
38,14,212621,False,44818,145560
39,1,211103,False,144611,144528
39,2,211217,True,144612,144611
39,3,211216,False,144528,144612
40,1,211094,False,144612,144523
40,2,211217,False,144611,144612
40,3,211215,False,144529,144611
40,4,211102,False,144942,144529
40,5,211701,False,144525,144942
40,6,211096,False,144523,144525
41,1,211094,True,144523,144612
41,2,211096,True,144525,144523
41,3,211101,True,144528,144525
41,4,211216,True,144612,144528
42,1,211095,False,144526,144524
42,2,211228,True,144621,144526
42,3,211100,True,144527,144621
42,4,211099,True,144525,144527
42,5,211701,True,144942,144525
42,6,211102,True,144529,144942
42,7,211104,True,144530,144529
42,8,211097,True,144524,144530
43,1,211099,False,144527,144525
43,2,211224,True,144618,144527
43,3,211758,True,144983,144618
43,4,211563,True,144851,144983
43,5,211569,True,144855,144851
43,6,212825,True,145695,144855
43,7,211105,True,144530,145695
43,8,211104,False,144529,144530
43,9,211215,True,144611,144529
43,10,211103,True,144528,144611
43,11,211101,False,144525,144528
44,1,211566,False,145062,144853
44,2,211874,True,145061,145062
44,3,211872,False,145063,145061
44,4,230738,True,158133,145063
44,5,211876,True,145060,158133
44,6,212670,True,145592,145060
44,7,211871,True,145059,145592
44,8,211870,False,144853,145059
45,1,211032,True,144477,145480
45,2,212733,True,145633,144477
45,3,212695,True,145608,145633
45,4,212694,True,145607,145608
45,5,212629,True,145565,145607
45,6,211863,True,145054,145565
45,7,211107,True,144533,145054
45,8,211109,True,144534,144533
45,9,211168,True,144580,144534
45,10,211170,True,144581,144580
45,11,211541,True,144836,144581
45,12,212495,True,145480,144836
46,1,211865,False,145056,145055
46,2,211869,False,145064,145056
46,3,212460,True,145455,145064
46,4,212797,True,145676,145455
46,5,211880,True,145066,145676
