nid,x,y,nseq,eid
4495,633601.929447407,1852814.35525533,1,6178
4495,633601.929447407,1852814.35525533,2,9495
5099,660459.021837979,1853354.05608043,1,7107
5099,660459.021837979,1853354.05608043,2,7106
5099,660459.021837979,1853354.05608043,3,211143
6517,566767.122451421,1852555.17401013,1,9305
6517,566767.122451421,1852555.17401013,2,9071
6517,566767.122451421,1852555.17401013,3,9661
6637,633601.45539454,1852815.84946345,1,9495
6637,633601.45539454,1852815.84946345,2,7865
6637,633601.45539454,1852815.84946345,3,9497
6638,592023.477777812,1852229.45952421,1,9497
6638,592023.477777812,1852229.45952421,2,9496
6638,592023.477777812,1852229.45952421,3,9305
6744,507870.372259886,1852088.43311675,1,9661
6744,507870.372259886,1852088.43311675,2,9307
6744,507870.372259886,1852088.43311675,3,211323
6745,407455.017783973,1852532.47301405,1,9663
6745,407455.017783973,1852532.47301405,2,9662
6745,407455.017783973,1852532.47301405,3,211220
25130,709496.077323367,2174018.87782854,1,36800
25130,709496.077323367,2174018.87782854,2,37140
25375,710578.58904784,2132149.44224762,1,37141
25375,710578.58904784,2132149.44224762,2,37493
25375,710578.58904784,2132149.44224762,3,211564
25376,710111.644377059,2150213.28693433,1,37140
25376,710111.644377059,2150213.28693433,2,37142
25376,710111.644377059,2150213.28693433,3,37141
25625,711028.258507625,2117610.38728311,1,37493
25625,711028.258507625,2117610.38728311,2,37146
25625,711028.258507625,2117610.38728311,3,37494
25626,711694.94669139,2090910.45635459,1,37494
25626,711694.94669139,2090910.45635459,2,40398
25864,718034.921814455,1877333.50373813,1,37849
25864,718034.921814455,1877333.50373813,2,37852
25866,718720.068895555,1854820.11448909,1,37852
25866,718720.068895555,1854820.11448909,2,135531
25866,718720.068895555,1854820.11448909,3,37850
25866,718720.068895555,1854820.11448909,4,7107
26859,717955.997440549,1881562.00143744,1,39364
26859,717955.997440549,1881562.00143744,2,39363
26859,717955.997440549,1881562.00143744,3,37849
26860,717660.998232822,1891216.88749877,1,39366
26860,717660.998232822,1891216.88749877,2,39364
26869,712860.544452736,2021406.63974224,1,39378
26869,712860.544452736,2021406.63974224,2,39551
26987,715889.505677703,1965628.36282843,1,39552
26987,715889.505677703,1965628.36282843,2,40017
26988,715499.913402233,1982942.20209429,1,39551
26988,715499.913402233,1982942.20209429,2,39539
26988,715499.913402233,1982942.20209429,3,39552
27288,716345.715536293,1952756.82820905,1,40017
27288,716345.715536293,1952756.82820905,2,39550
27288,716345.715536293,1952756.82820905,3,40020
27289,717395.260057331,1908761.16728439,1,40019
27289,717395.260057331,1908761.16728439,2,40018
27289,717395.260057331,1908761.16728439,3,211144
27290,717377.683605933,1910446.42533623,1,40020
27290,717377.683605933,1910446.42533623,2,40019
27536,712860.537783195,2021406.86513661,1,40397
27536,712860.537783195,2021406.86513661,2,40396
27536,712860.537783195,2021406.86513661,3,39378
27536,712860.537783195,2021406.86513661,4,211761
27537,712534.360964593,2032431.01365353,1,40399
27537,712534.360964593,2032431.01365353,2,40397
27538,711718.010748398,2089846.13876807,1,40398
27538,711718.010748398,2089846.13876807,2,37653
27538,711718.010748398,2089846.13876807,3,40399
27540,707736.981074395,2237213.92856888,1,40401
27540,707736.981074395,2237213.92856888,2,40403
27541,708409.043854891,2212604.5165233,1,40403
27541,708409.043854891,2212604.5165233,2,40402
27541,708409.043854891,2212604.5165233,3,211567
44644,312240.982280219,2408379.54975789,1,65718
44644,312240.982280219,2408379.54975789,2,65475
44644,312240.982280219,2408379.54975789,3,65473
44738,464053.468754968,2407093.23462583,1,211156
44738,464053.468754968,2407093.23462583,2,65618
44738,464053.468754968,2407093.23462583,3,65614
44809,449468.870530938,2407079.39588068,1,65717
44809,449468.870530938,2407079.39588068,2,65618
44809,449468.870530938,2407079.39588068,3,65719
44810,375581.339437817,2408020.53464664,1,65238
44810,375581.339437817,2408020.53464664,2,211030
44810,375581.339437817,2408020.53464664,3,65718
44817,516583.572907199,2407304.42747325,1,212809
44817,516583.572907199,2407304.42747325,2,65729
44817,516583.572907199,2407304.42747325,3,65727
44818,499352.864766562,2407120.58031416,1,212621
44818,499352.864766562,2407120.58031416,2,65728
44818,499352.864766562,2407120.58031416,3,65616
85566,272748.550670573,1855204.71000768,1,126128
85566,272748.550670573,1855204.71000768,2,125143
85566,272748.550670573,1855204.71000768,3,8567
85637,282949.042697484,2201104.3339529,1,211028
85637,282949.042697484,2201104.3339529,2,125241
85637,282949.042697484,2201104.3339529,3,125243
86215,274064.678873712,1907613.77214272,1,211072
86215,274064.678873712,1907613.77214272,2,126128
86215,274064.678873712,1907613.77214272,3,125589
86216,278120.799074001,2041358.87479611,1,211604
86216,278120.799074001,2041358.87479611,2,126130
86216,278120.799074001,2041358.87479611,3,126129
86450,289294.689392428,2409470.20587657,1,65475
86450,289294.689392428,2409470.20587657,2,126514
86450,289294.689392428,2409470.20587657,3,126509
86454,288205.371303363,2367380.32753152,1,126514
86454,288205.371303363,2367380.32753152,2,126513
86454,288205.371303363,2367380.32753152,3,126213
144445,452575.538962319,2308543.81068089,1,210996
144445,452575.538962319,2308543.81068089,2,212470
144446,517141.220762498,2120948.28937399,1,210997
144446,517141.220762498,2120948.28937399,2,211395
144447,454892.320143317,2313160.84813493,1,210998
144447,454892.320143317,2313160.84813493,2,211530
144448,460290.353828178,2282477.7614635,1,210999
144448,460290.353828178,2282477.7614635,2,212505
144449,360005.652824935,1925260.82068597,1,211000
144449,360005.652824935,1925260.82068597,2,211905
144449,360005.652824935,1925260.82068597,3,211909
144450,480816.523621764,2218861.95037116,1,211666
144450,480816.523621764,2218861.95037116,2,211001
144450,480816.523621764,2218861.95037116,3,212524
144451,325301.636937195,1890527.7535236,1,211003
144451,325301.636937195,1890527.7535236,2,211035
144452,375323.991759933,1852931.02724257,1,211320
144452,375323.991759933,1852931.02724257,2,211002
144452,375323.991759933,1852931.02724257,3,211004
144453,341882.194178637,1853504.88027746,1,211005
144453,341882.194178637,1853504.88027746,2,211004
144453,341882.194178637,1853504.88027746,3,211676
144454,314423.316054158,1862771.6415781,1,211006
144454,314423.316054158,1862771.6415781,2,211342
144455,472563.69564655,2259941.32000113,1,211115
144455,472563.69564655,2259941.32000113,2,211007
144455,472563.69564655,2259941.32000113,3,211447
144455,472563.69564655,2259941.32000113,4,211116
144456,432518.375216728,2247394.12161547,1,211770
144456,432518.375216728,2247394.12161547,2,211008
144456,432518.375216728,2247394.12161547,3,211582
144457,477790.198856035,2188196.7534752,1,211009
144457,477790.198856035,2188196.7534752,2,211743
144458,460762.496813087,2319981.87340872,1,211083
144458,460762.496813087,2319981.87340872,2,211010
144458,460762.496813087,2319981.87340872,3,211600
144459,439504.282231301,2235803.48655655,1,211011
144459,439504.282231301,2235803.48655655,2,212560
144460,474369.030024751,2233016.49211411,1,211306
144460,474369.030024751,2233016.49211411,2,211012
144460,474369.030024751,2233016.49211411,3,212356
144460,474369.030024751,2233016.49211411,4,211827
144461,458126.873003264,2244468.59317688,1,211013
144461,458126.873003264,2244468.59317688,2,212105
144462,420031.419392654,2306198.70897028,1,211524
144462,420031.419392654,2306198.70897028,2,211014
144462,420031.419392654,2306198.70897028,3,211027
144463,471316.361284736,2261684.98293081,1,211015
144463,471316.361284736,2261684.98293081,2,211117
144464,449983.79461872,2263331.85850248,1,212151
144464,449983.79461872,2263331.85850248,2,211016
144464,449983.79461872,2263331.85850248,3,211337
144464,449983.79461872,2263331.85850248,4,212168
144465,483691.966016675,2217221.94423665,1,211017
144465,483691.966016675,2217221.94423665,2,211089
144465,483691.966016675,2217221.94423665,3,211092
144465,483691.966016675,2217221.94423665,4,211067
144466,470108.618105143,2378683.70555196,1,212723
144466,470108.618105143,2378683.70555196,2,211018
144466,470108.618105143,2378683.70555196,3,212819
