rn,seq,eid,rev,nodea,nodeb
0,1,216000,False,149446,147943
0,2,218223,True,149445,149446
0,3,218221,False,147942,149445
0,4,216001,False,147943,147942
1,1,95164,False,66926,65053
1,2,97986,False,147941,66926
1,3,215998,True,147940,147941
1,4,215996,False,147939,147940
1,5,215995,True,147317,147939
1,6,215065,False,147943,147317
1,7,216001,True,147942,147943
1,8,215999,False,147314,147942
1,9,215058,False,65059,147314
1,10,95171,False,65053,65059
2,1,215056,True,147311,147940
2,2,216843,True,148518,147311
2,3,216841,True,148517,148518
2,4,215994,True,147939,148517
2,5,215996,True,147940,147939
3,1,214922,False,150381,147214
3,2,219608,True,150379,150381
3,3,219604,False,147317,150379
3,4,215995,False,147939,147317
3,5,215994,False,148517,147939
3,6,216842,False,148515,148517
3,7,216839,False,147947,148515
3,8,216005,False,150378,147947
3,9,219606,True,150380,150378
3,10,219605,False,147214,150380
4,1,216006,False,148515,147946
4,2,216842,True,148517,148515
4,3,216841,False,148518,148517
4,4,216845,True,148519,148518
4,5,216844,True,148516,148519
4,6,216840,False,147946,148516
5,1,215027,True,147290,147290
5,1,215025,True,147288,147288
5,1,215024,True,147287,147287
5,1,215023,True,147286,147286
5,1,215022,True,147285,147285
5,1,215021,True,147284,148516
5,1,215020,True,147283,147283
5,1,215026,True,147289,147289
5,1,215028,False,147292,147291
5,2,215030,True,147291,147292
5,2,216007,True,147948,147284
5,3,216004,True,147946,147948
5,4,216840,True,148516,147946
6,1,215057,False,147947,147312
6,2,216839,True,148515,147947
6,3,216006,True,147946,148515
6,4,216004,False,147948,147946
6,5,216008,True,147945,147948
6,6,217800,True,149159,147945
6,7,216003,True,147944,149159
6,8,216002,False,147312,147944
7,1,215057,True,147312,147947
7,2,216002,True,147944,147312
7,3,217798,True,149157,147944
7,4,219603,True,150378,149157
7,5,216005,True,147947,150378
8,1,215059,True,147313,149445
8,2,215061,True,147315,147313
8,3,215060,False,147314,147315
8,4,215999,True,147942,147314
8,5,218221,True,149445,147942
9,1,214921,False,147318,147213
9,2,218222,True,149446,147318
9,3,216000,True,147943,149446
9,4,215065,True,147317,147943
9,5,219604,True,150379,147317
9,6,215063,True,147316,150379
9,7,215062,False,147213,147316
10,1,214921,True,147213,147318
10,1,214922,True,147214,150381
10,2,219605,True,150380,147214
10,2,215062,True,147316,147213
10,3,219607,True,150381,150380
10,3,215064,True,147318,147316
11,1,214487,True,146911,147443
11,2,215254,True,147444,146911
11,3,219406,True,150238,147444
11,4,218404,True,149569,150238
11,5,215070,True,147322,149569
11,6,215066,True,147319,147322
11,7,218986,True,149956,147319
11,8,216295,True,148146,149956
11,9,217971,True,149276,148146
11,10,215250,True,147442,149276
11,11,215252,True,147443,147442
12,1,215068,False,147324,147319
12,2,215074,False,147326,147324
12,3,215077,False,149178,147326
12,4,217828,False,149179,149178
12,5,217827,False,148146,149179
12,6,216295,False,149956,148146
12,7,218986,False,147319,149956
13,1,215066,False,147322,147319
13,2,215071,True,147321,147322
13,3,215069,False,147320,147321
13,4,215073,True,147324,147320
13,5,215068,True,147319,147324
14,1,213845,False,147323,146446
14,2,215076,True,147326,147323
14,3,215074,True,147324,147326
14,4,215073,False,147320,147324
14,5,215067,False,146446,147320
15,1,215075,True,147325,147323
15,2,215089,True,147335,147325
