nid,x,y,nseq,eid
29854,3619709.83040174,1289572.30952324,1,43766
29854,3619709.83040174,1289572.30952324,2,216359
29854,3619709.83040174,1289572.30952324,3,218362
29854,3619709.83040174,1289572.30952324,4,96692
29914,3624136.86819819,1285864.73413243,1,44251
29914,3624136.86819819,1285864.73413243,2,44245
29914,3624136.86819819,1285864.73413243,3,43852
29920,3621019.11120742,1287591.84586772,1,43767
29920,3621019.11120742,1287591.84586772,2,44018
29920,3621019.11120742,1287591.84586772,3,43859
30023,3621373.78956654,1287002.43578837,1,44020
30023,3621373.78956654,1287002.43578837,2,216357
30023,3621373.78956654,1287002.43578837,3,44018
30050,3626957.5263297,1273958.30153703,1,96862
30050,3626957.5263297,1273958.30153703,2,44059
30097,3626929.14377636,1276939.69051939,1,44130
30097,3626929.14377636,1276939.69051939,2,215863
30097,3626929.14377636,1276939.69051939,3,44131
30098,3626357.35719685,1279029.25449752,1,44136
30098,3626357.35719685,1279029.25449752,2,44131
30169,3623273.52881314,1285991.28770772,1,213818
30169,3623273.52881314,1285991.28770772,2,44244
30169,3623273.52881314,1285991.28770772,3,44019
30172,3627479.36966544,1280422.01114017,1,44250
30172,3627479.36966544,1280422.01114017,2,214115
30172,3627479.36966544,1280422.01114017,3,44252
30173,3624560.19827123,1284924.66330593,1,44002
30173,3624560.19827123,1284924.66330593,2,213820
30173,3624560.19827123,1284924.66330593,3,44251
59166,3056676.58796758,1048444.47765558,1,214627
59166,3056676.58796758,1048444.47765558,2,86803
59166,3056676.58796758,1048444.47765558,3,86801
59171,3045536.43785449,1046428.55735243,1,86803
59171,3045536.43785449,1046428.55735243,2,86809
59171,3045536.43785449,1046428.55735243,3,86808
59175,3037300.72585202,1042702.79583761,1,86809
59175,3037300.72585202,1042702.79583761,2,86815
59175,3037300.72585202,1042702.79583761,3,86814
59614,3111075.55915527,1079886.67716485,1,87464
59614,3111075.55915527,1079886.67716485,2,87463
59614,3111075.55915527,1079886.67716485,3,218125
59624,3110320.58717537,1073215.4807251,1,87479
59624,3110320.58717537,1073215.4807251,2,87478
59624,3110320.58717537,1073215.4807251,3,87464
59629,3089610.09321155,1064903.87203958,1,87488
59629,3089610.09321155,1064903.87203958,2,87486
59629,3089610.09321155,1064903.87203958,3,87483
59630,3092363.21964332,1067698.10739585,1,217702
59630,3092363.21964332,1067698.10739585,2,87488
59630,3092363.21964332,1067698.10739585,3,87487
59780,3111111.30017122,1080118.688436,1,218122
59780,3111111.30017122,1080118.688436,2,87705
59780,3111111.30017122,1080118.688436,3,87469
59781,3124506.20471442,1095130.18049801,1,88508
59781,3124506.20471442,1095130.18049801,2,87707
59781,3124506.20471442,1095130.18049801,3,87706
60010,3142034.52734546,1104724.3273269,1,213854
60010,3142034.52734546,1104724.3273269,2,88046
60010,3142034.52734546,1104724.3273269,3,88045
