rn,seq,eid,rev,nodea,nodeb
0,1,222329,False,152812,152318
0,2,223064,False,152813,152812
0,3,223063,False,152788,152813
0,4,223026,False,152318,152788
1,1,222168,False,152208,152207
1,2,222169,False,152318,152208
1,3,223026,True,152788,152318
1,4,223019,True,152783,152788
1,5,222330,True,152316,152783
1,6,222326,True,152315,152316
1,7,222325,False,152317,152315
1,8,222937,True,152729,152317
1,9,222328,True,152314,152729
1,10,222324,False,152207,152314
2,1,221716,True,151903,153025
2,2,223281,True,152964,151903
2,3,222327,True,152317,152964
2,4,222325,True,152315,152317
2,5,223368,True,153024,152315
2,6,223370,True,153025,153024
2,7,221717,True,151904,153685
2,8,224344,True,153686,151904
2,9,224343,True,153685,153686
3,1,224343,False,153686,153685
3,2,224345,True,153685,153686
4,1,221717,False,153685,151904
4,2,224345,False,153686,153685
4,3,224344,False,151904,153686
5,1,65373,False,152182,44573
5,2,223017,True,152782,152182
5,3,222131,True,152181,152782
5,4,222129,False,119009,152181
5,5,174031,False,117572,119009
5,6,171917,False,44573,117572
6,1,222130,False,152463,152182
6,2,222552,False,152465,152463
6,3,222555,False,152951,152465
6,4,224460,True,153767,152951
6,5,223262,True,152950,153767
6,6,223260,False,152574,152950
6,7,222718,False,152781,152574
6,8,223018,False,152782,152781
6,9,223017,False,152182,152782
7,1,64932,False,44427,44273
7,2,65157,False,150603,44427
7,3,219869,False,152574,150603
7,4,223260,True,152950,152574
7,5,222720,True,152575,152950
7,6,222719,False,152466,152575
7,7,222554,False,44273,152466
8,1,222551,False,152575,152464
8,2,222720,False,152950,152575
8,3,223262,False,153767,152950
8,4,224460,False,152951,153767
8,5,223261,False,152464,152951
9,1,220976,True,151398,152464
9,2,222553,True,152466,151398
9,3,222719,True,152575,152466
9,4,222551,True,152464,152575
10,1,65366,False,44273,44572
10,2,222554,True,152466,44273
10,3,222553,False,151398,152466
10,4,220976,False,152464,151398
10,5,223261,True,152951,152464
10,6,222555,True,152465,152951
10,7,222552,True,152463,152465
10,8,222550,False,44572,152463
11,1,220331,False,150947,150946
11,2,220808,True,151282,150947
11,3,224366,True,153701,151282
11,4,223275,True,152960,153701
11,5,222981,True,152758,152960
11,6,220333,True,150946,152758
12,1,219661,False,150615,150431
12,2,220766,True,151253,150615
12,3,219884,True,150614,151253
12,4,219882,False,150495,150614
12,5,219737,False,150617,150495
12,6,219886,True,150616,150617
12,7,220783,True,151265,150616
12,8,219887,True,150431,151265
13,1,219737,True,150495,150617
13,2,219882,True,150614,150495
13,3,220332,True,150947,150614
13,4,220331,True,150946,150947
13,5,219885,True,150617,150946
14,1,219661,True,150431,150615
14,2,222020,True,152110,150431
14,3,222022,True,152111,152110
14,4,223699,True,153244,152111
14,5,220767,True,151254,153244
14,6,219883,True,150615,151254
15,1,219883,False,151254,150615
15,2,220809,True,151283,151254
15,3,220768,True,151253,151283
15,4,220766,False,150615,151253
16,1,219884,False,151253,150614
16,2,220768,False,151283,151253
16,3,220810,True,151282,151283
16,4,220808,False,150947,151282
16,5,220332,False,150614,150947
17,1,220767,False,153244,151254
17,2,223700,False,153376,153244
17,3,223896,False,153377,153376
17,4,223895,False,150819,153377
17,5,224367,False,153701,150819
17,6,224366,False,151282,153701
17,7,220810,False,151283,151282
17,8,220809,False,151254,151283
18,1,220705,True,151210,151264
18,2,221078,True,151471,151210
18,3,220707,True,151212,151471
18,4,220706,False,151211,151212
18,5,224441,True,153752,151211
18,6,223619,True,153192,153752
18,7,220780,True,151263,153192
18,8,220782,True,151264,151263
19,1,219887,False,151265,150431
19,2,220785,True,151266,151265
19,3,220784,True,151264,151266
19,4,220782,False,151263,151264
19,5,220781,True,150431,151263
20,1,222021,True,152109,152110
20,2,222026,True,152113,152109
20,3,222025,False,152112,152113
20,4,222024,True,152111,152112
20,5,222022,False,152110,152111
21,1,220704,False,152113,151211
21,2,222026,False,152109,152113
21,3,223620,False,153192,152109
21,4,223619,False,153752,153192
21,5,224441,False,151211,153752
22,1,220780,False,153192,151263
22,2,223620,True,152109,153192
22,3,222021,False,152110,152109
22,4,222020,False,150431,152110
22,5,220781,False,151263,150431
23,1,219853,False,153243,150590
23,2,223892,True,153375,153243
23,3,223894,True,153376,153375
23,4,223700,True,153244,153376
23,5,223699,False,152111,153244
23,6,222024,False,152112,152111
23,7,222023,False,150590,152112
24,1,221075,False,153377,151469
24,2,223896,True,153376,153377
24,3,223894,False,153375,153376
24,4,224068,True,153495,153375
24,5,223893,True,153374,153495
24,6,223891,False,151469,153374
25,1,219698,True,150463,151212
25,2,222965,True,152747,150463
25,3,223228,True,152929,152747
25,4,219852,True,150591,152929
25,5,219851,True,150590,150591
25,6,222023,True,152112,150590
25,7,222025,True,152113,152112
25,8,220704,True,151211,152113
25,9,220706,True,151212,151211
26,1,221076,False,153374,151468
26,2,223893,False,153495,153374
26,3,224069,True,153494,153495
26,4,224067,False,151468,153494
27,1,223603,False,153494,153180
27,2,224069,False,153495,153494
27,3,224068,False,153375,153495
27,4,223892,False,153243,153375
27,5,223698,False,153193,153243
27,6,223623,False,153194,153193
27,7,223622,False,153180,153194
28,1,219851,False,150591,150590
28,2,223621,True,153193,150591
28,3,223698,True,153243,153193
28,4,219853,True,150590,153243
29,1,223599,False,153178,153179
29,2,224436,True,153748,153178
29,3,223602,True,153181,153748
29,4,223601,False,151468,153181
29,5,224067,True,153494,151468
29,6,223603,True,153180,153494
29,7,223622,True,153194,153180
29,8,223600,True,153179,153194
30,1,219852,False,152929,150591
30,2,223232,False,152931,152929
30,3,223231,False,153179,152931
30,4,223600,False,153194,153179
30,5,223623,True,153193,153194
30,6,223621,False,150591,153193
31,1,220482,False,151469,151055
31,2,223891,True,153374,151469
31,3,221076,True,151468,153374
31,4,223601,True,153181,151468
31,5,221074,True,151467,153181
31,6,221073,False,151055,151467
32,1,221074,False,153181,151467
32,2,223602,False,153748,153181
32,3,224436,False,153178,153748
32,4,224349,False,153689,153178
32,5,224351,False,153690,153689
32,6,224350,False,151467,153690
33,1,220479,False,151055,151053
