nid,x,y,nseq,eid
44273,791621.496183392,-59977.2924665797,1,64932
44273,791621.496183392,-59977.2924665797,2,65366
44273,791621.496183392,-59977.2924665797,3,222554
44377,778733.240739467,215354.889950407,1,65087
44377,778733.240739467,215354.889950407,2,65684
44390,781946.884667982,139646.037029481,1,65104
44390,781946.884667982,139646.037029481,2,65687
44425,791539.384008973,-55668.7151361306,1,65155
44425,791539.384008973,-55668.7151361306,2,219868
44427,791937.715710107,-57236.6186576385,1,65156
44427,791937.715710107,-57236.6186576385,2,64932
44427,791937.715710107,-57236.6186576385,3,65157
44428,783454.002362273,104206.142608674,1,65159
44428,783454.002362273,104206.142608674,2,65699
44439,785520.629165775,65222.5734192812,1,65488
44439,785520.629165775,65222.5734192812,2,65174
44439,785520.629165775,65222.5734192812,3,223083
44442,790447.679613871,-33080.5392188963,1,65179
44442,790447.679613871,-33080.5392188963,2,65734
44444,787742.995822092,21243.3278672911,1,65468
44444,787742.995822092,21243.3278672911,2,65180
44444,787742.995822092,21243.3278672911,3,65703
44572,791621.484627453,-59977.3607369962,1,65366
44572,791621.484627453,-59977.3607369962,2,65236
44572,791621.484627453,-59977.3607369962,3,222550
44573,790152.084851007,-63466.2633713092,1,65373
44573,790152.084851007,-63466.2633713092,2,171917
44631,783000.020505313,113524.638746856,1,65455
44631,783000.020505313,113524.638746856,2,65457
44633,783390.102541869,105517.781310636,1,65457
44633,783390.102541869,105517.781310636,2,65456
44633,783390.102541869,105517.781310636,3,65159
44640,786415.763758863,47764.302735155,1,65467
44640,786415.763758863,47764.302735155,2,65202
44640,786415.763758863,47764.302735155,3,222166
44653,785278.665634964,69128.7430337558,1,65490
44653,785278.665634964,69128.7430337558,2,65488
44784,781709.585556031,147019.996559742,1,65683
44784,781709.585556031,147019.996559742,2,65682
44784,781709.585556031,147019.996559742,3,223705
44785,781273.45582513,159361.540388473,1,65685
44785,781273.45582513,159361.540388473,2,65683
44786,778868.57170455,212203.063299063,1,65684
44786,778868.57170455,212203.063299063,2,65679
44786,778868.57170455,212203.063299063,3,221014
44787,782903.504432789,115637.342030757,1,65688
44787,782903.504432789,115637.342030757,2,65686
44787,782903.504432789,115637.342030757,3,65455
44788,781950.742344377,139462.409071941,1,65687
44788,781950.742344377,139462.409071941,2,65673
44788,781950.742344377,139462.409071941,3,223707
44789,782574.086793297,123210.170874632,1,65689
44789,782574.086793297,123210.170874632,2,65688
44789,782574.086793297,123210.170874632,3,223976
44796,784060.144425401,91631.6230858675,1,65700
44796,784060.144425401,91631.6230858675,2,65711
44797,783524.197194034,102765.281178697,1,65699
44797,783524.197194034,102765.281178697,2,65161
44797,783524.197194034,102765.281178697,3,65700
44799,789448.383206373,-13320.8084905719,1,65704
44799,789448.383206373,-13320.8084905719,2,65706
44799,789448.383206373,-13320.8084905719,3,221627
44800,789405.954098647,-12210.8372869062,1,65703
44800,789405.954098647,-12210.8372869062,2,65491
44800,789405.954098647,-12210.8372869062,3,65704
44801,789929.432293602,-22605.7167717788,1,65706
44801,789929.432293602,-22605.7167717788,2,65705
44801,789929.432293602,-22605.7167717788,3,220867
44804,785190.682635904,71368.6739067618,1,65712
44804,785190.682635904,71368.6739067618,2,65710
44804,785190.682635904,71368.6739067618,3,65490
44805,784270.092408957,88825.4779862283,1,65711
44805,784270.092408957,88825.4779862283,2,65702
44805,784270.092408957,88825.4779862283,3,223076
44806,784297.985102047,88291.3913021976,1,65713
44806,784297.985102047,88291.3913021976,2,222737
44822,790540.347180738,-35002.686232646,1,65735
44822,790540.347180738,-35002.686232646,2,65737
44822,790540.347180738,-35002.686232646,3,223448
44823,790540.159708422,-34998.7975785075,1,65734
44823,790540.159708422,-34998.7975785075,2,65177
44823,790540.159708422,-34998.7975785075,3,65735
44824,790963.295649915,-43776.0192332846,1,65737
44824,790963.295649915,-43776.0192332846,2,65736
44824,790963.295649915,-43776.0192332846,3,65155
117572,803531.746271784,-103982.885660868,1,65367
117572,803531.746271784,-103982.885660868,2,174031
117572,803531.746271784,-103982.885660868,3,171917
117960,358652.551226377,-152945.793461705,1,172476
117960,358652.551226377,-152945.793461705,2,172470
117960,358652.551226377,-152945.793461705,3,219671
118055,363159.335730753,-153606.11424069,1,172615
118055,363159.335730753,-153606.11424069,2,172614
118055,363159.335730753,-153606.11424069,3,219670
118189,349533.032155477,-147528.499883036,1,172814
118189,349533.032155477,-147528.499883036,2,171989
118189,349533.032155477,-147528.499883036,3,224518
118192,349752.31554724,-139503.969851225,1,224421
118192,349752.31554724,-139503.969851225,2,172819
118192,349752.31554724,-139503.969851225,3,172818
118320,304444.247342916,-91711.0114154899,1,173016
118320,304444.247342916,-91711.0114154899,2,173014
118320,304444.247342916,-91711.0114154899,3,223202
118324,324528.227571474,-88849.4091106112,1,173022
118324,324528.227571474,-88849.4091106112,2,173020
118324,324528.227571474,-88849.4091106112,3,223011
118326,341652.342915557,-105654.075571815,1,222686
118326,341652.342915557,-105654.075571815,2,173025
118326,341652.342915557,-105654.075571815,3,173023
118327,346464.100555438,-118807.589470676,1,224162
118327,346464.100555438,-118807.589470676,2,173024
118327,346464.100555438,-118807.589470676,3,173015
118332,348317.2716932,-125058.92552352,1,173032
118332,348317.2716932,-125058.92552352,2,173028
118332,348317.2716932,-125058.92552352,3,173036
118334,347650.918003294,-122606.767466324,1,173036
118334,347650.918003294,-122606.767466324,2,173035
118334,347650.918003294,-122606.767466324,3,173024
118416,514002.758885661,-140409.612899756,1,173157
118416,514002.758885661,-140409.612899756,2,173155
118416,514002.758885661,-140409.612899756,3,221602
118712,564855.72443488,-131705.082154875,1,173584
118712,564855.72443488,-131705.082154875,2,173583
118712,564855.72443488,-131705.082154875,3,173157
118717,377833.387032233,-157498.284164265,1,173591
118717,377833.387032233,-157498.284164265,2,173594
118717,377833.387032233,-157498.284164265,3,220118
118719,377507.958772613,-157659.279827722,1,173594
118719,377507.958772613,-157659.279827722,2,173593
118719,377507.958772613,-157659.279827722,3,219799
118761,658687.768854695,-109001.017149812,1,173656
118761,658687.768854695,-109001.017149812,2,173670
118761,658687.768854695,-109001.017149812,3,221973
118778,686714.891226728,-108209.729678109,1,173679
118778,686714.891226728,-108209.729678109,2,173678
118778,686714.891226728,-108209.729678109,3,173656
118784,608786.708881175,-119300.086399101,1,173688
118784,608786.708881175,-119300.086399101,2,173687
118784,608786.708881175,-119300.086399101,3,221599
118797,473676.011239414,-154949.735147159,1,173706
118797,473676.011239414,-154949.735147159,2,173708
118797,473676.011239414,-154949.735147159,3,173711
118800,471678.974585409,-153330.149468511,1,173715
118800,471678.974585409,-153330.149468511,2,173711
118800,471678.974585409,-153330.149468511,3,173707
118803,471648.882336433,-151726.297641272,1,173715
118803,471648.882336433,-151726.297641272,2,173714
118803,471648.882336433,-151726.297641272,3,223132
118804,452630.335311048,-144684.759618019,1,173717
118804,452630.335311048,-144684.759618019,2,173716
118804,452630.335311048,-144684.759618019,3,173919
118808,477325.480809533,-153975.692780903,1,173724
118808,477325.480809533,-153975.692780903,2,173722
118808,477325.480809533,-153975.692780903,3,173706
118809,493559.255872565,-151089.29230579,1,173723
118809,493559.255872565,-151089.29230579,2,171589
118809,493559.255872565,-151089.29230579,3,173724
118938,448469.33186963,-142294.338083169,1,173919
118938,448469.33186963,-142294.338083169,2,173181
118938,448469.33186963,-142294.338083169,3,223206
118939,443168.54314073,-142082.105603343,1,173921
118939,443168.54314073,-142082.105603343,2,173920
118939,443168.54314073,-142082.105603343,3,174067
119005,631302.165473614,-117429.639977084,1,174025
119005,631302.165473614,-117429.639977084,2,173693
119005,631302.165473614,-117429.639977084,3,174029
119007,617996.255632883,-117353.875321725,1,174029
119007,617996.255632883,-117353.875321725,2,174028
119007,617996.255632883,-117353.875321725,3,173688
119008,721283.76146581,-107013.297474031,1,174032
119008,721283.76146581,-107013.297474031,2,174030
119008,721283.76146581,-107013.297474031,3,220873
119009,790025.17640728,-104409.334574969,1,174031
119009,790025.17640728,-104409.334574969,2,171918
119009,790025.17640728,-104409.334574969,3,222129
119034,437278.03496102,-143713.250722665,1,174067
119034,437278.03496102,-143713.250722665,2,173174
119034,437278.03496102,-143713.250722665,3,223197
119035,415048.716567813,-149630.944925792,1,174069
119035,415048.716567813,-149630.944925792,2,174068
119035,415048.716567813,-149630.944925792,3,219956
150383,375312.268991984,198298.587717368,1,219610
150383,375312.268991984,198298.587717368,2,222653
150384,398608.154952353,67909.282165117,1,219611
150384,398608.154952353,67909.282165117,2,219990
150385,362430.493938604,-139836.413339645,1,222649
150385,362430.493938604,-139836.413339645,2,219612
150385,362430.493938604,-139836.413339645,3,221727
150385,362430.493938604,-139836.413339645,4,220112
150386,362925.769974934,85421.8003043346,1,219613
150386,362925.769974934,85421.8003043346,2,221498
150387,366597.822158863,85011.7524579767,1,223676
150387,366597.822158863,85011.7524579767,2,219616
150387,366597.822158863,85011.7524579767,3,219614
150388,364127.651474078,85191.0701705748,1,219614
150388,364127.651474078,85191.0701705748,2,221494
150388,364127.651474078,85191.0701705748,3,219615
150389,560085.069402439,8786.99019191252,1,219617
150389,560085.069402439,8786.99019191252,2,222391
150390,403857.925599525,82620.3350619436,1,223531
150390,403857.925599525,82620.3350619436,2,219618
150390,403857.925599525,82620.3350619436,3,222489
150390,403857.925599525,82620.3350619436,4,221506
150391,400262.536817154,52936.6425253951,1,219619
150391,400262.536817154,52936.6425253951,2,219723
150391,400262.536817154,52936.6425253951,3,220245
150392,398824.778590902,31909.9972901892,1,219620
150392,398824.778590902,31909.9972901892,2,219716
150392,398824.778590902,31909.9972901892,3,222438
150393,524433.862699219,-41003.0490092845,1,219621
150393,524433.862699219,-41003.0490092845,2,221286
150394,474027.375852036,99981.2749840167,1,219622
150394,474027.375852036,99981.2749840167,2,219889
150395,214650.941115049,107866.702842716,1,219638
150395,214650.941115049,107866.702842716,2,219623
150395,214650.941115049,107866.702842716,3,219637
150396,213164.236199596,120490.85855092,1,219624
150396,213164.236199596,120490.85855092,2,222830
150397,631164.460442598,-84176.3837043739,1,219625
150397,631164.460442598,-84176.3837043739,2,220480
150398,334629.817455371,122832.109734137,1,219626
150398,334629.817455371,122832.109734137,2,223771
150399,329334.73122846,130755.914491707,1,219627
150399,329334.73122846,130755.914491707,2,223768
150399,329334.73122846,130755.914491707,3,223770
