rn,seq,eid,rev,nodea,nodeb
0,1,228135,False,156362,156364
0,2,230282,True,157810,156362
0,3,230175,True,157738,157810
0,4,229568,True,157334,157738
0,5,229024,True,156963,157334
0,6,229026,True,156965,156963
0,7,229023,True,156364,156965
1,1,226589,False,156964,155296
1,2,229027,False,157332,156964
1,3,229590,False,157348,157332
1,4,229589,False,155296,157348
2,1,226273,False,156364,155058
2,2,229023,False,156965,156364
2,3,229028,True,156966,156965
2,4,229566,True,157332,156966
2,5,229027,True,156964,157332
2,6,229025,False,155297,156964
2,7,226588,False,155058,155297
3,1,226589,True,155296,156964
3,2,227254,True,155770,155296
3,3,229030,True,156968,155770
3,4,229704,True,157426,156968
3,5,226590,True,155297,157426
3,6,229025,True,156964,155297
4,1,227253,False,155768,155769
4,2,227255,True,155770,155768
4,3,227254,False,155296,155770
4,4,229589,True,157348,155296
4,5,227257,True,155771,157348
4,6,227256,True,155769,155771
5,1,227252,False,156659,155768
5,2,228579,False,156967,156659
5,3,229035,True,156971,156967
5,4,229031,True,156968,156971
5,5,229030,False,155770,156968
5,6,227255,False,155768,155770
6,1,226448,False,156972,155191
6,2,229037,True,156971,156972
6,3,229035,False,156967,156971
6,4,229029,False,156970,156967
6,5,229034,True,156969,156970
6,6,229032,False,155191,156969
7,1,228983,False,156986,156933
7,2,229056,True,156981,156986
7,3,229049,False,156980,156981
7,4,229048,True,156979,156980
7,5,229070,True,156994,156979
7,6,229046,True,156978,156994
7,7,229045,False,156985,156978
7,8,229057,True,156984,156985
7,9,229053,False,156983,156984
7,10,229052,True,156982,156983
7,11,229050,False,156933,156982
8,1,228989,False,156992,156939
8,2,229067,True,156991,156992
8,3,229065,False,156940,156991
8,4,229064,True,156990,156940
8,5,229063,False,156941,156990
8,6,229069,True,156993,156941
8,7,229068,False,156942,156993
8,8,229062,True,156989,156942
8,9,229061,False,156988,156989
8,10,229060,True,156987,156988
8,11,229058,False,156939,156987
9,1,226663,False,155352,155351
9,2,229059,True,156988,155352
9,3,229061,True,156989,156988
9,4,228993,True,156944,156989
9,5,228995,True,156945,156944
9,6,226665,True,155351,156945
10,1,226664,False,156996,155352
10,2,229073,True,156995,156996
10,3,229076,True,156999,156995
10,4,229071,True,156994,156999
10,5,229070,False,156979,156994
10,6,229048,False,156980,156979
10,7,229047,False,156987,156980
10,8,229060,False,156988,156987
10,9,229059,False,155352,156988
11,1,227006,False,156978,155598
11,2,229046,False,156994,156978
11,3,229071,False,156999,156994
11,4,229077,True,156998,156999
11,5,229075,False,156997,156998
11,6,229078,True,155598,156997
