nid,x,y,nseq,eid
44860,748110.37790624,-146988.2363678,1,65776
44860,748110.37790624,-146988.2363678,2,69060
44860,748110.37790624,-146988.2363678,3,73897
46054,682844.362680602,-148115.635257985,1,67403
46054,682844.362680602,-148115.635257985,2,65858
46054,682844.362680602,-148115.635257985,3,226898
46059,678813.527185929,-148139.498745893,1,67410
46059,678813.527185929,-148139.498745893,2,67404
46059,678813.527185929,-148139.498745893,3,226897
47155,776630.232608425,-146602.067727597,1,69058
47155,776630.232608425,-146602.067727597,2,69056
47155,776630.232608425,-146602.067727597,3,226614
47156,779614.376111374,-146578.068840309,1,69057
47156,779614.376111374,-146578.068840309,2,69054
47156,779614.376111374,-146578.068840309,3,69058
47708,606047.113237804,-147541.444623964,1,69865
47708,606047.113237804,-147541.444623964,2,73769
48473,716028.891723586,-147737.564082881,1,71071
48473,716028.891723586,-147737.564082881,2,71073
48473,716028.891723586,-147737.564082881,3,73899
48531,634414.199235143,-147753.743143553,1,71170
48531,634414.199235143,-147753.743143553,2,73380
48531,634414.199235143,-147753.743143553,3,74039
49028,649240.887936835,-147957.90854329,1,71939
49028,649240.887936835,-147957.90854329,2,71938
49028,649240.887936835,-147957.90854329,3,229468
49127,725818.058354054,-147595.022817942,1,72090
49127,725818.058354054,-147595.022817942,2,72089
49127,725818.058354054,-147595.022817942,3,71071
49496,669338.025773599,-148131.063507159,1,72646
49496,669338.025773599,-148131.063507159,2,72644
49496,669338.025773599,-148131.063507159,3,229469
49497,674129.608069526,-148165.551512467,1,72645
49497,674129.608069526,-148165.551512467,2,67411
49497,674129.608069526,-148165.551512467,3,227803
49695,754336.147109499,-146827.141782554,1,72956
49695,754336.147109499,-146827.141782554,2,72954
49695,754336.147109499,-146827.141782554,3,227298
49696,756773.698460808,-146800.298285546,1,72955
49696,756773.698460808,-146800.298285546,2,71625
49696,756773.698460808,-146800.298285546,3,226794
50110,687172.293795379,-148169.517338746,1,73598
50110,687172.293795379,-148169.517338746,2,73597
50110,687172.293795379,-148169.517338746,3,67403
50221,564040.863820154,-147296.033347262,1,73770
50221,564040.863820154,-147296.033347262,2,73768
50221,564040.863820154,-147296.033347262,3,81452
50222,606004.088235856,-147541.808429578,1,73769
50222,606004.088235856,-147541.808429578,2,71853
50222,606004.088235856,-147541.808429578,3,229631
50305,744956.020282136,-147074.984556769,1,73897
50305,744956.020282136,-147074.984556769,2,73896
50305,744956.020282136,-147074.984556769,3,227244
50306,706342.719771283,-148054.046819645,1,73900
50306,706342.719771283,-148054.046819645,2,73898
50306,706342.719771283,-148054.046819645,3,227109
50307,715221.329895822,-147750.217213769,1,73899
50307,715221.329895822,-147750.217213769,2,71072
50307,715221.329895822,-147750.217213769,3,227110
50403,621865.635891951,-147558.703683114,1,74039
50403,621865.635891951,-147558.703683114,2,74038
50403,621865.635891951,-147558.703683114,3,229494
50733,764265.751795901,-146722.650660194,1,74572
50733,764265.751795901,-146722.650660194,2,74570
50733,764265.751795901,-146722.650660194,3,226795
50734,774120.826052921,-146621.216741028,1,74571
50734,774120.826052921,-146621.216741028,2,69055
50734,774120.826052921,-146621.216741028,3,226616
54426,516570.678470935,-123219.716938732,1,79964
54426,516570.678470935,-123219.716938732,2,79963
54426,516570.678470935,-123219.716938732,3,230329
55464,547125.387031333,-147035.401246225,1,81452
55464,547125.387031333,-147035.401246225,2,81006
55464,547125.387031333,-147035.401246225,3,82117
55645,500352.575314653,-40603.966893443,1,112900
55645,500352.575314653,-40603.966893443,2,81717
55645,500352.575314653,-40603.966893443,3,81705
55649,512268.785565205,-66682.5905060539,1,229248
55649,512268.785565205,-66682.5905060539,2,81725
55649,512268.785565205,-66682.5905060539,3,81723
55870,504095.771184837,-82994.958357434,1,227918
55870,504095.771184837,-82994.958357434,2,82062
55870,504095.771184837,-82994.958357434,3,82057
55873,510432.934186137,-110266.344685898,1,82060
55873,510432.934186137,-110266.344685898,2,81286
55873,510432.934186137,-110266.344685898,3,229254
55911,547204.06371838,-144245.661864531,1,82117
55911,547204.06371838,-144245.661864531,2,81453
55911,547204.06371838,-144245.661864531,3,229474
55924,526434.569396673,-128298.170834402,1,82138
55924,526434.569396673,-128298.170834402,2,82136
55924,526434.569396673,-128298.170834402,3,79964
55925,544564.941174396,-139305.770904871,1,82137
55925,544564.941174396,-139305.770904871,2,82118
55925,544564.941174396,-139305.770904871,3,229458
70667,567929.710471299,303805.477886739,1,103321
70667,567929.710471299,303805.477886739,2,227004
70667,567929.710471299,303805.477886739,3,229054
71331,746083.600029582,233772.207431992,1,108082
71331,746083.600029582,233772.207431992,2,104240
71331,746083.600029582,233772.207431992,3,104239
71838,585241.56011002,292551.378824706,1,104973
71838,585241.56011002,292551.378824706,2,106118
71838,585241.56011002,292551.378824706,3,104974
72608,586284.547556176,290815.619653301,1,104975
72608,586284.547556176,290815.619653301,2,111290
72608,586284.547556176,290815.619653301,3,106118
73868,765777.778628547,215135.05576961,1,110723
73868,765777.778628547,215135.05576961,2,108067
73868,765777.778628547,215135.05576961,3,108065
73876,755044.162644939,219631.838505553,1,108067
73876,755044.162644939,219631.838505553,2,108078
73876,755044.162644939,219631.838505553,3,108077
73877,744851.404102648,222327.612631725,1,108080
73877,744851.404102648,222327.612631725,2,226173
73879,745539.434530623,223316.142638404,1,108083
73879,745539.434530623,223316.142638404,2,108081
73879,745539.434530623,223316.142638404,3,108080
73880,749517.836284385,227675.419742229,1,108047
73880,749517.836284385,227675.419742229,2,226268
73880,749517.836284385,227675.419742229,3,108082
73881,745771.934753056,223566.301766679,1,108084
73881,745771.934753056,223566.301766679,2,108083
74063,678043.369509056,252087.075897284,1,229427
74063,678043.369509056,252087.075897284,2,108368
74063,678043.369509056,252087.075897284,3,108366
74278,716375.298443966,241822.511956616,1,104240
74278,716375.298443966,241822.511956616,2,108683
74278,716375.298443966,241822.511956616,3,108681
74279,704421.276320802,240278.870435373,1,108683
74279,704421.276320802,240278.870435373,2,108682
74279,704421.276320802,240278.870435373,3,107716
75382,765474.752925353,171589.53487242,1,110435
75382,765474.752925353,171589.53487242,2,229688
75384,777411.742948457,154131.845966357,1,110437
75384,777411.742948457,154131.845966357,2,110729
75385,783265.295227784,168515.652529631,1,110433
75385,783265.295227784,168515.652529631,2,110437
75385,783265.295227784,168515.652529631,3,110436
75566,772665.699907462,196388.763672332,1,110722
75566,772665.699907462,196388.763672332,2,226175
75566,772665.699907462,196388.763672332,3,110724
75567,767632.66106632,212161.302944735,1,108074
75567,767632.66106632,212161.302944735,2,226171
75567,767632.66106632,212161.302944735,3,110723
75568,786031.981259875,144121.145445492,1,110725
75568,786031.981259875,144121.145445492,2,227329
75568,786031.981259875,144121.145445492,3,110730
75571,783629.849677388,145272.328448227,1,110727
75571,783629.849677388,145272.328448227,2,227677
75571,783629.849677388,145272.328448227,3,110729
75934,620437.46395188,269999.564530311,1,229013
75934,620437.46395188,269999.564530311,2,111291
75934,620437.46395188,269999.564530311,3,111289
75935,587436.33476756,289094.001467452,1,108370
75935,587436.33476756,289094.001467452,2,227462
75935,587436.33476756,289094.001467452,3,111290
76381,440280.669828267,326145.907668225,1,228818
76381,440280.669828267,326145.907668225,2,111869
76381,440280.669828267,326145.907668225,3,111867
76787,427738.037648618,68308.8031090481,1,112440
76787,427738.037648618,68308.8031090481,2,112442
76787,427738.037648618,68308.8031090481,3,114797
76821,380143.131846932,195803.69137703,1,112492
76821,380143.131846932,195803.69137703,2,112490
76821,380143.131846932,195803.69137703,3,229847
77098,501498.340277617,-36241.5875477513,1,112900
77098,501498.340277617,-36241.5875477513,2,82499
77098,501498.340277617,-36241.5875477513,3,114092
77594,390560.16862989,175636.824255848,1,227997
77594,390560.16862989,175636.824255848,2,113645
77594,390560.16862989,175636.824255848,3,113644
77893,498072.925593772,-20162.6971135232,1,114092
77893,498072.925593772,-20162.6971135232,2,114093
77893,498072.925593772,-20162.6971135232,3,230036
77897,498601.656010898,-4081.22789135152,1,114097
77897,498601.656010898,-4081.22789135152,2,114096
77897,498601.656010898,-4081.22789135152,3,230532
78183,423696.924762131,289657.482498396,1,114519
78183,423696.924762131,289657.482498396,2,114518
78183,423696.924762131,289657.482498396,3,227450
78203,378276.78056102,214520.091371861,1,226621
78203,378276.78056102,214520.091371861,2,114545
78203,378276.78056102,214520.091371861,3,112094
78367,436915.58877091,64500.1065470054,1,114793
78367,436915.58877091,64500.1065470054,2,114791
78367,436915.58877091,64500.1065470054,3,227060
78368,441642.214602254,61466.0310054215,1,114792
78368,441642.214602254,61466.0310054215,2,114791
78368,441642.214602254,61466.0310054215,3,114793
78371,421583.003813923,71458.6271340543,1,114798
78371,421583.003813923,71458.6271340543,2,114796
78371,421583.003813923,71458.6271340543,3,227061
78372,425711.923297834,68931.4747210456,1,114797
78372,425711.923297834,68931.4747210456,2,114799
78372,425711.923297834,68931.4747210456,3,114798
78390,383851.835424168,157402.59819978,1,114828
78390,383851.835424168,157402.59819978,2,114807
78390,383851.835424168,157402.59819978,3,229857
78393,384685.082393535,166156.375105195,1,229832
78393,384685.082393535,166156.375105195,2,114833
78393,384685.082393535,166156.375105195,3,114832
78402,384030.230420928,146965.749491647,1,114847
78402,384030.230420928,146965.749491647,2,114846
78402,384030.230420928,146965.749491647,3,226194
78410,380806.937314047,142658.810540624,1,114847
78410,380806.937314047,142658.810540624,2,114859
78410,380806.937314047,142658.810540624,3,114858
78414,379367.835686862,139776.365291674,1,114859
78414,379367.835686862,139776.365291674,2,114865
78414,379367.835686862,139776.365291674,3,114864
78417,381574.256019845,130504.923903197,1,114869
78417,381574.256019845,130504.923903197,2,111529
78417,381574.256019845,130504.923903197,3,227376
78419,381549.564422451,131181.738882341,1,226195
78419,381549.564422451,131181.738882341,2,114873
78419,381549.564422451,131181.738882341,3,114872
78420,380544.86239934,138146.159423801,1,114876
78420,380544.86239934,138146.159423801,2,114874
78420,380544.86239934,138146.159423801,3,114865
78421,382183.058536613,136544.027069357,1,114875
78421,382183.058536613,136544.027069357,2,113160
78421,382183.058536613,136544.027069357,3,114876
78635,424520.667162892,317011.861839857,1,227449
78635,424520.667162892,317011.861839857,2,115196
78635,424520.667162892,317011.861839857,3,115198
78666,387491.243099091,228506.497737195,1,226154
78666,387491.243099091,228506.497737195,2,115245
78666,387491.243099091,228506.497737195,3,114547
78667,422842.334333781,261816.428336841,1,115247
78667,422842.334333781,261816.428336841,2,115246
78667,422842.334333781,261816.428336841,3,114519
78692,383569.76604506,101462.620585835,1,115288
78692,383569.76604506,101462.620585835,2,115286
78692,383569.76604506,101462.620585835,3,115503
78693,403502.14847787,84426.9025844159,1,115287
78693,403502.14847787,84426.9025844159,2,113866
78693,403502.14847787,84426.9025844159,3,229834
78780,431285.065405848,320721.022611885,1,115419
78780,431285.065405848,320721.022611885,2,115417
78780,431285.065405848,320721.022611885,3,230443
78781,432386.765872066,322682.682236144,1,115495
78781,432386.765872066,322682.682236144,2,115421
78781,432386.765872066,322682.682236144,3,115420
78831,433798.921487723,322807.940202666,1,112326
78831,433798.921487723,322807.940202666,2,228821
78831,433798.921487723,322807.940202666,3,115495
78832,437532.838779456,325737.242671911,1,111869
78832,437532.838779456,325737.242671911,2,115497
78832,437532.838779456,325737.242671911,3,115496
78836,381454.534574764,122678.446489787,1,228915
78836,381454.534574764,122678.446489787,2,115507
78836,381454.534574764,122678.446489787,3,115502
78837,378107.221367874,105220.823143505,1,228912
78837,378107.221367874,105220.823143505,2,115503
78837,378107.221367874,105220.823143505,3,113793
78845,463288.951533918,31515.7179937495,1,115515
78845,463288.951533918,31515.7179937495,2,115035
78845,463288.951533918,31515.7179937495,3,226444
78846,451440.70589958,41665.9982718561,1,115517
78846,451440.70589958,41665.9982718561,2,115516
78846,451440.70589958,41665.9982718561,3,226445
78849,468834.228986066,26806.6784177907,1,115521
78849,468834.228986066,26806.6784177907,2,111322
78849,468834.228986066,26806.6784177907,3,115523
78850,467415.068911208,27679.8246924131,1,115523
78850,467415.068911208,27679.8246924131,2,115522
78850,467415.068911208,27679.8246924131,3,115515
78853,469590.164748816,26009.3230726917,1,115529
78853,469590.164748816,26009.3230726917,2,115527
78853,469590.164748816,26009.3230726917,3,115521
78854,470116.896251923,25731.2295174201,1,115528
78854,470116.896251923,25731.2295174201,2,111530
78854,470116.896251923,25731.2295174201,3,115529
78857,473234.950162613,22769.7997929419,1,115534
78857,473234.950162613,22769.7997929419,2,115532
78857,473234.950162613,22769.7997929419,3,115528
78858,496733.911492593,2342.39605504676,1,115533
78858,496733.911492593,2342.39605504676,2,114094
78858,496733.911492593,2342.39605504676,3,230564
154938,773956.178747731,-135838.4943885,1,226131
154938,773956.178747731,-135838.4943885,2,229556
154939,738469.879318165,115949.966317989,1,227385
154939,738469.879318165,115949.966317989,2,226132
154940,642817.62622782,201471.171288638,1,226133
154940,642817.62622782,201471.171288638,2,229777
154940,642817.62622782,201471.171288638,3,229761
154941,728919.573455932,-117085.373388664,1,227421
154941,728919.573455932,-117085.373388664,2,226134
154942,700024.52577254,-119116.280045715,1,226555
154942,700024.52577254,-119116.280045715,2,226135
154943,757487.240906334,-79796.2410333731,1,226279
154943,757487.240906334,-79796.2410333731,2,228607
154943,757487.240906334,-79796.2410333731,3,226136
154944,746198.780278482,-84794.8317851635,1,228458
154944,746198.780278482,-84794.8317851635,2,226137
154945,759332.819561941,-92019.5497081574,1,227574
154945,759332.819561941,-92019.5497081574,2,226138
154946,780350.174515479,-119009.912346686,1,226139
154946,780350.174515479,-119009.912346686,2,227369
154946,780350.174515479,-119009.912346686,3,227373
154947,779051.532595985,-136798.098224024,1,226140
154947,779051.532595985,-136798.098224024,2,226891
154947,779051.532595985,-136798.098224024,3,226895
154948,595565.480906786,-30126.3494783281,1,226141
154948,595565.480906786,-30126.3494783281,2,229953
154948,595565.480906786,-30126.3494783281,3,229935
154949,764697.006676654,-83209.8917816887,1,226504
154949,764697.006676654,-83209.8917816887,2,226142
154950,746687.410646341,-43532.0287276419,1,226143
154950,746687.410646341,-43532.0287276419,2,230338
154950,746687.410646341,-43532.0287276419,3,227493
154951,645934.793136028,-84507.1775462175,1,226933
154951,645934.793136028,-84507.1775462175,2,226144
154952,760701.556183065,-72519.369746609,1,226179
154952,760701.556183065,-72519.369746609,2,226145
154953,770682.341390561,-83511.3328337597,1,227145
154953,770682.341390561,-83511.3328337597,2,226146
154954,638050.031895729,-89739.6744877283,1,228558
154954,638050.031895729,-89739.6744877283,2,226147
154955,755511.201904062,78306.0583084478,1,226148
154955,755511.201904062,78306.0583084478,2,226149
154955,755511.201904062,78306.0583084478,3,227265
154956,756766.607889567,77467.5664737615,1,227501
154956,756766.607889567,77467.5664737615,2,226150
154956,756766.607889567,77467.5664737615,3,226149
154957,755295.160863558,76206.2335923214,1,227590
154957,755295.160863558,76206.2335923214,2,226151
154958,480725.811256972,299472.338322357,1,227752
154958,480725.811256972,299472.338322357,2,226152
154959,772772.246415101,-92560.6517978798,1,226153
154959,772772.246415101,-92560.6517978798,2,226407
154960,402144.747075633,238348.451104973,1,229153
154960,402144.747075633,238348.451104973,2,226155
154961,402132.434518423,238514.771516849,1,226156
154961,402132.434518423,238514.771516849,2,226155
154961,402132.434518423,238514.771516849,3,226154
154962,416849.362963377,244937.978665859,1,227748
154962,416849.362963377,244937.978665859,2,226157
154962,416849.362963377,244937.978665859,3,226156
154963,565748.735007032,125935.759525162,1,229191
154963,565748.735007032,125935.759525162,2,226158
154964,638077.554052926,-88428.2225194655,1,226162
154964,638077.554052926,-88428.2225194655,2,226160
154965,639267.733259333,-88991.2237963182,1,226159
154965,639267.733259333,-88991.2237963182,2,226161
154965,639267.733259333,-88991.2237963182,3,226966
154966,638066.261870833,-89016.6906297122,1,226161
154966,638066.261870833,-89016.6906297122,2,226147
154966,638066.261870833,-89016.6906297122,3,226162
154967,644324.167360077,-85695.2959485857,1,226163
154967,644324.167360077,-85695.2959485857,2,226962
154967,644324.167360077,-85695.2959485857,3,228269
154968,479017.645225883,106004.10806527,1,226806
