rn,seq,eid,rev,nodea,nodeb
0,1,224677,False,154197,153929
0,2,225059,True,154202,154197
0,3,225058,False,154166,154202
0,4,225009,False,154200,154166
0,5,225894,True,154767,154200
0,6,225056,True,154199,154767
0,7,225054,False,154201,154199
0,8,225334,True,154389,154201
0,9,225332,True,154387,154389
0,10,225061,True,154203,154387
0,11,225339,True,154392,154203
0,12,225060,True,154198,154392
0,13,225053,False,153929,154198
1,1,225055,False,154199,154200
1,2,225056,False,154767,154199
1,3,225894,False,154200,154767
2,1,224656,False,154167,153913
2,2,225760,True,154675,154167
2,3,225781,True,154689,154675
2,4,225057,True,154201,154689
2,5,225054,True,154199,154201
2,6,225055,True,154200,154199
2,7,225009,True,154166,154200
2,8,225058,True,154202,154166
2,9,225007,True,154165,154202
2,10,225006,False,154037,154165
2,11,224829,False,153913,154037
3,1,224835,False,154165,154041
3,2,225007,False,154202,154165
3,3,225059,False,154197,154202
3,4,225052,False,154245,154197
3,5,225124,True,154246,154245
3,6,225123,False,154041,154246
4,1,95114,False,66621,65019
4,2,97532,False,66622,66621
4,3,97534,False,154089,66622
4,4,224900,True,154088,154089
4,5,225040,True,154189,154088
4,6,224898,True,154087,154189
4,7,224897,False,65019,154087
5,1,95100,False,65014,65009
5,2,95106,False,154188,65014
5,3,225039,True,154187,154188
5,4,225043,True,154192,154187
5,5,225037,True,154088,154192
5,6,224900,False,154089,154088
5,7,224899,False,66623,154089
5,8,97533,False,65009,66623
6,1,224840,False,154045,153982
6,2,224841,False,154190,154045
6,3,225044,False,154192,154190
6,4,225043,False,154187,154192
6,5,225039,False,154188,154187
6,6,225038,False,154291,154188
6,7,225191,True,154292,154291
6,8,225195,True,154295,154292
6,9,225200,True,154299,154295
6,10,225190,True,153982,154299
7,1,225189,False,154297,154291
7,2,225203,True,154301,154297
7,3,225198,True,154296,154301
7,4,225196,True,154295,154296
7,5,225195,False,154292,154295
7,6,225191,False,154291,154292
8,1,224906,False,154191,154093
8,2,225045,True,154189,154191
8,3,225040,False,154088,154189
8,4,225037,False,154192,154088
8,5,225044,True,154190,154192
8,6,225041,False,154093,154190
9,1,224898,False,154189,154087
9,2,225045,False,154191,154189
9,3,225042,False,154092,154191
9,4,224904,False,154435,154092
9,5,225403,False,154817,154435
9,6,225966,False,154816,154817
9,7,225964,False,154087,154816
10,1,224839,False,154091,154044
10,2,224903,True,154090,154091
10,3,224901,False,154092,154090
10,4,225042,True,154191,154092
10,5,224906,True,154093,154191
10,6,224905,False,154044,154093
11,1,224751,False,154044,153982
11,2,224905,True,154093,154044
11,3,225041,True,154190,154093
11,4,224841,True,154045,154190
11,5,224840,True,153982,154045
12,1,224751,True,153982,154044
12,2,224902,True,154091,153982
12,3,224839,True,154044,154091
13,1,217581,False,154298,149010
13,2,225209,True,154305,154298
13,3,225206,True,154303,154305
13,4,225201,True,154299,154303
13,5,225200,False,154295,154299
13,6,225196,False,154296,154295
13,7,225198,False,154301,154296
13,8,225204,True,154300,154301
13,9,225202,False,154051,154300
13,10,224849,False,149010,154051
14,1,224752,False,154090,153983
14,2,224903,False,154091,154090
14,3,224902,False,153982,154091
14,4,225190,False,154299,153982
14,5,225201,False,154303,154299
14,6,225207,True,154302,154303
14,7,225205,False,153983,154302
15,1,224752,True,153983,154090
15,2,225205,True,154302,153983
15,3,225211,True,154306,154302
15,4,225402,True,154435,154306
15,5,224904,True,154092,154435
15,6,224901,True,154090,154092
16,1,218252,False,154304,149465
16,2,225212,True,154307,154304
16,3,225210,True,154305,154307
16,4,225209,False,154298,154305
16,5,225199,False,149465,154298
17,1,225206,False,154305,154303
17,2,225210,False,154307,154305
17,3,225400,True,154434,154307
17,4,225213,True,154306,154434
17,5,225211,False,154302,154306
17,6,225207,False,154303,154302
18,1,224753,False,153985,153984
18,2,224756,True,153986,153985
18,3,224760,True,153989,153986
18,4,225218,True,154311,153989
18,5,225217,True,154310,154311
18,6,224792,True,154011,154310
18,7,224755,True,153984,154011
19,1,224754,False,153988,153985
19,2,225017,True,154173,153988
19,3,224759,True,153987,154173
19,4,225224,True,154315,153987
19,5,224761,True,153990,154315
19,6,224757,True,153986,153990
19,7,224756,False,153985,153986
20,1,224757,False,153990,153986
20,2,225221,True,154313,153990
20,3,224762,True,153989,154313
20,4,224760,False,153986,153989
21,1,225217,False,154311,154310
21,2,225220,True,154312,154311
21,3,226075,True,154893,154312
21,4,225219,True,154310,154893
22,1,224762,False,154313,153989
22,2,225223,True,154314,154313
22,3,226073,True,154892,154314
22,4,225222,True,154312,154892
22,5,225220,False,154311,154312
22,6,225218,False,153989,154311
23,1,224792,False,154310,154011
23,2,225219,False,154893,154310
23,3,226077,False,154894,154893
23,4,226076,False,154011,154894
24,1,225225,False,154525,154314
24,2,225537,False,154526,154525
24,3,225536,False,154520,154526
24,4,225530,False,154912,154520
24,5,226100,True,154911,154912
24,6,226098,False,154891,154911
24,7,226074,False,154892,154891
24,8,226073,False,154314,154892
25,1,224761,False,154315,153990
25,2,225535,True,154525,154315
25,3,225225,True,154314,154525
25,4,225223,False,154313,154314
25,5,225221,False,153990,154313
26,1,224890,True,154081,154746
26,2,224892,True,154083,154081
26,3,224891,False,154082,154083
26,4,225987,True,154832,154082
26,5,225862,True,154746,154832
27,1,224573,False,153926,153850
27,2,224676,False,154083,153926
27,3,224892,False,154081,154083
27,4,225236,True,154322,154081
27,5,225235,False,153850,154322
28,1,224674,False,153927,153926
28,2,224681,True,153931,153927
28,3,224889,True,154082,153931
28,4,224891,True,154083,154082
28,5,224676,True,153926,154083
29,1,167447,False,154323,114490
29,2,225238,True,153934,154323
29,3,224687,False,153935,153934
29,4,224686,False,153891,153935
29,5,224626,False,153892,153891
29,6,224625,False,153884,153892
29,7,224615,False,114490,153884
30,1,183402,False,153935,125519
30,2,224687,True,153934,153935
30,3,225239,True,154324,153934
30,4,224962,True,154134,154324
30,5,224685,True,125519,154134
31,1,163024,False,154325,111565
31,2,225241,True,154324,154325
31,3,225239,False,153934,154324
31,4,225238,False,154323,153934
31,5,225237,False,114489,154323
31,6,167445,False,111565,114489
32,1,166945,False,154327,114157
32,2,225244,True,154326,154327
32,3,225242,False,154134,154326
32,4,224962,False,154324,154134
32,5,225241,False,154325,154324
32,6,225240,False,114157,154325
33,1,181772,False,125527,124417
33,2,183413,False,125528,125527
33,3,183417,False,125531,125528
33,4,183416,False,125519,125531
33,5,224685,False,154134,125519
33,6,225242,True,154326,154134
33,7,224964,True,154135,154326
33,8,225701,True,154636,154135
