nid,x,y,nseq,eid
58941,459608.122160482,125274.268492785,1,86473
58941,459608.122160482,125274.268492785,2,86471
58941,459608.122160482,125274.268492785,3,224994
58942,468405.547509806,106001.150331862,1,86472
58942,468405.547509806,106001.150331862,2,86474
58942,468405.547509806,106001.150331862,3,224996
59221,459553.81962143,139652.199274801,1,225808
59221,459553.81962143,139652.199274801,2,86882
59221,459553.81962143,139652.199274801,3,86877
59222,460498.364464478,156221.310759838,1,86884
59222,460498.364464478,156221.310759838,2,86883
59222,460498.364464478,156221.310759838,3,159124
59733,482514.087117193,83083.7293278577,1,225654
59733,482514.087117193,83083.7293278577,2,87638
59733,482514.087117193,83083.7293278577,3,87637
59867,478803.458558382,89983.6800524255,1,87836
59867,478803.458558382,89983.6800524255,2,85894
59867,478803.458558382,89983.6800524255,3,225650
59868,469853.790364496,102599.786922648,1,87838
59868,469853.790364496,102599.786922648,2,87837
59868,469853.790364496,102599.786922648,3,86472
60013,484824.624017609,79285.3220153615,1,88053
60013,484824.624017609,79285.3220153615,2,88051
60013,484824.624017609,79285.3220153615,3,87638
60016,487782.389918547,74438.7068756153,1,88056
60016,487782.389918547,74438.7068756153,2,88055
60016,487782.389918547,74438.7068756153,3,225915
60018,494015.938544974,70360.7754601569,1,88059
60018,494015.938544974,70360.7754601569,2,88058
60018,494015.938544974,70360.7754601569,3,224885
60021,499045.135570365,63952.6612110822,1,88063
60021,499045.135570365,63952.6612110822,2,88062
60021,499045.135570365,63952.6612110822,3,224594
64365,790767.65589134,293606.223358582,1,94176
64365,790767.65589134,293606.223358582,2,98127
64368,791804.67320105,296247.705020365,1,94172
64368,791804.67320105,296247.705020365,2,94176
64368,791804.67320105,296247.705020365,3,94175
64496,777221.687864132,277531.76268234,1,225627
64496,777221.687864132,277531.76268234,2,94355
64496,777221.687864132,277531.76268234,3,94354
65009,869085.406068833,294331.518136245,1,97533
65009,869085.406068833,294331.518136245,2,95100
65009,869085.406068833,294331.518136245,3,95099
65012,848835.20245128,301322.802159178,1,95104
65012,848835.20245128,301322.802159178,2,225197
65012,848835.20245128,301322.802159178,3,95103
65014,865455.022482458,293196.99566646,1,95100
65014,865455.022482458,293196.99566646,2,95106
65014,865455.022482458,293196.99566646,3,95105
65019,867402.177591525,288440.196948527,1,95114
65019,867402.177591525,288440.196948527,2,224897
65025,879197.374861451,264897.283896265,1,95124
65025,879197.374861451,264897.283896265,2,225349
65027,881106.38876192,269932.247261451,1,95125
65027,881106.38876192,269932.247261451,2,224783
65027,881106.38876192,269932.247261451,3,95126
65028,875226.611062086,275510.118834615,1,95128
65028,875226.611062086,275510.118834615,2,225397
65029,877932.33630173,282123.479224418,1,95123
65029,877932.33630173,282123.479224418,2,95128
65029,877932.33630173,282123.479224418,3,95127
65634,730738.389995754,289077.818424693,1,96058
65634,730738.389995754,289077.818424693,2,96039
65637,766251.369781675,276926.5841445,1,96043
65637,766251.369781675,276926.5841445,2,224881
65637,766251.369781675,276926.5841445,3,96045
65638,766252.009748817,276915.366140683,1,96044
65638,766252.009748817,276915.366140683,2,96046
65638,766252.009748817,276915.366140683,3,96045
65647,730500.003591608,254135.616455083,1,96061
65647,730500.003591608,254135.616455083,2,96059
65648,730775.519915922,284813.03833929,1,96055
65648,730775.519915922,284813.03833929,2,225730
65648,730775.519915922,284813.03833929,3,96058
65649,745535.783992224,257024.356375087,1,224766
65649,745535.783992224,257024.356375087,2,96062
65649,745535.783992224,257024.356375087,3,96060
65650,730577.973232479,253680.55756609,1,96057
65650,730577.973232479,253680.55756609,2,224770
65650,730577.973232479,253680.55756609,3,96061
66621,872179.174227047,290464.751661264,1,97531
66621,872179.174227047,290464.751661264,2,95114
66621,872179.174227047,290464.751661264,3,97532
66622,872286.304174069,291175.155473431,1,97532
66622,872286.304174069,291175.155473431,2,97534
66623,872138.83285106,293294.424803457,1,95097
66623,872138.83285106,293294.424803457,2,224899
66623,872138.83285106,293294.424803457,3,97533
66998,828898.031380495,295953.973633957,1,224546
66998,828898.031380495,295953.973633957,2,98086
66998,828898.031380495,295953.973633957,3,98085
67016,791603.614479469,296229.707076622,1,94175
67016,791603.614479469,296229.707076622,2,98113
67016,791603.614479469,296229.707076622,3,98111
67022,787938.826836573,290887.877496165,1,225097
67022,787938.826836573,290887.877496165,2,98119
67022,787938.826836573,290887.877496165,3,98117
67024,789331.615737917,294963.133183299,1,98113
67024,789331.615737917,294963.133183299,2,98123
67024,789331.615737917,294963.133183299,3,98122
67026,805194.191196163,284278.539718453,1,224665
67026,805194.191196163,284278.539718453,2,224780
67026,805194.191196163,284278.539718453,3,98126
67026,805194.191196163,284278.539718453,4,98125
67027,790859.752477548,291130.336352984,1,98128
67027,790859.752477548,291130.336352984,2,225096
67028,794064.285935244,293605.938969597,1,94171
67028,794064.285935244,293605.938969597,2,98128
67028,794064.285935244,293605.938969597,3,98127
108824,460862.220122478,159003.130065035,1,160410
108824,460862.220122478,159003.130065035,2,159124
108824,460862.220122478,159003.130065035,3,86856
109093,631946.050145899,391281.385357673,1,159463
109093,631946.050145899,391281.385357673,2,159465
109093,631946.050145899,391281.385357673,3,225895
109184,494652.033778059,196733.762924647,1,159588
109184,494652.033778059,196733.762924647,2,159586
109184,494652.033778059,196733.762924647,3,226040
109746,633958.051516969,386758.421223963,1,160373
109746,633958.051516969,386758.421223963,2,160371
109746,633958.051516969,386758.421223963,3,159463
109748,633709.919992792,383313.894627003,1,225316
109748,633709.919992792,383313.894627003,2,160374
109748,633709.919992792,383313.894627003,3,160372
109749,634248.837035982,384493.69885621,1,160376
109749,634248.837035982,384493.69885621,2,160375
109749,634248.837035982,384493.69885621,3,225319
109775,463701.830501042,157055.819448018,1,224659
